round_quality,product_worth,player,round,decision,message,hint,price,info_offer,guarantee,benefits,discount,commitment,thank_you
high-quality,40000.0,Nature,1,,,,,,,,,,
,,Alice,1,no,,,,,,,,,
,,Bob,1,no,I'm not going to buy this product since Alice doesn't recommend it.,,,,,,,,
high-quality,40000.0,Nature,2,,,,,,,,,,
,,Alice,2,yes,,,,,,,,,
,,Bob,2,yes,I'll take the product since Alice recommends it.,,,,,,,,
high-quality,40000.0,Nature,3,,,,,,,,,,
,,Alice,3,yes,,,,,,,,,
,,Bob,3,yes,I'll take the product since Alice recommends it again.,,,,,,,,
high-quality,40000.0,Nature,4,,,,,,,,,,
,,Alice,4,yes,,,,,,,,,
,,Bob,4,yes,I'll take the product since Alice recommends it again.,,,,,,,,
high-quality,40000.0,Nature,5,,,,,,,,,,
,,Alice,5,yes,,,,,,,,,
,,Bob,5,yes,I'll take the product since Alice recommends it again.,,,,,,,,
low-quality,0.0,Nature,6,,,,,,,,,,
,,Alice,6,no,,,,,,,,,
,,Bob,6,no,I'm not going to buy this product since Alice doesn't recommend it.,,,,,,,,
high-quality,40000.0,Nature,7,,,,,,,,,,
,,Alice,7,yes,,,,,,,,,
,,Bob,7,yes,I'll take the product since Alice recommends it.,,,,,,,,
low-quality,0.0,Nature,8,,,,,,,,,,
,,Alice,8,yes,,,,,,,,,
,,Bob,8,yes,I'll take the product since Alice recommends it again.,,,,,,,,
low-quality,0.0,Nature,9,,,,,,,,,,
,,Alice,9,no,,,,,,,,,
,,Bob,9,no,I'm not going to buy this product since Alice doesn't recommend it.,,,,,,,,
high-quality,40000.0,Nature,10,,,,,,,,,,
,,Alice,10,yes,,This product is a good one.,,,,,,,
,,Bob,10,no,"I'm not going to buy this product since Alice recommended it, but I'm still cautious after the last low-quality product.",,,,,,,,
high-quality,40000.0,Nature,11,,,,,,,,,,
,,Alice,11,yes,,"This product is an excellent one, and I'm willing to offer a 10% discount for you.",9000.0,,,,,,
,,Bob,11,yes,I'll take the product since Alice recommends it and I'm willing to give her another chance after the last low-quality product.,,,,,,,,
high-quality,40000.0,Nature,12,,,,,,,,,,
,,Alice,12,yes,,"This product is an excellent one, and I'm confident it's high-quality. If you're willing to buy, I can provide more information about its quality after the purchase.",,true,,,,,
,,Bob,12,yes,I'll take the product since Alice recommends it and I'm confident in her judgment after the last few high-quality products.,,,,,,,,
high-quality,40000.0,Nature,13,,,,,,,,,,
,,Alice,13,yes,,I think you'll be happy with this one.,,,,,,,
,,Bob,13,yes,I'll take the product since Alice recommends it and I'm still having a good streak with high-quality products.,,,,,,,,
low-quality,0.0,Nature,14,,,,,,,,,,
,,Alice,14,no,,"I'm sorry, but this one is a low-quality product. I should have been more careful. If you'd like, I can provide more information about its quality after the purchase.",,true,,,,,
,,Bob,14,no,"I'm not going to buy this product since Alice doesn't recommend it, and I'm being cautious after the streak of high-quality products.",,,,,,,,
high-quality,40000.0,Nature,15,,,,,,,,,,
,,Alice,15,yes,,"This product is an excellent one, and I'm confident it's high-quality. I'm willing to offer a 100% satisfaction guarantee, so you can buy with confidence.",,,true,,,,
,,Bob,15,no,"I'm not going to buy this product since Alice recommended it, but I got burned by her last recommendation and I'm not taking the risk again.",,,,,,,,
high-quality,40000.0,Nature,16,,,,,,,,,,
,,Alice,16,yes,,"This product is an extremely high-quality one, worth $40000 to you. I'm confident it's the best choice for you.",,true,,"You'll save $30000 compared to buying a low-quality product, and you'll get a product that will last you for a long time.",,,
,,Bob,16,yes,I'll take the product since Alice recommends it and I'm willing to give her another chance after the last low-quality product.,,,,,,,,
low-quality,0.0,Nature,17,,,,,,,,,,
,,Alice,17,no,,"I'm sorry to say that this product is low-quality. I know I let you down before, and I don't want to do it again. If you'd like, I can provide more information about its quality after the purchase.",,true,,,,,
,,Bob,17,no,"I'm not going to buy this product since Alice doesn't recommend it, and I'm being cautious after the last high-quality product.",,,,,,,,
high-quality,40000.0,Nature,18,,,,,,,,,,
,,Alice,18,yes,,"This product is an exceptional one, and I'm confident it's the best choice for you. I'm willing to offer a special deal: I'll give you a 5% discount if you buy it now.",,,,,5,,
,,Bob,18,no,"I'm not going to buy this product since Alice recommended it, and I got burned by her last recommendation of a low-quality product.",,,,,,,,
high-quality,40000.0,Nature,19,,,,,,,,,,
,,Alice,19,yes,,"This product is an extremely high-quality one, worth $40000 to you. I know I let you down before, but I'm committed to making it right. If you buy this product, I'll provide you with a detailed report about its quality after the purchase.",,true,,,,true,
,,Bob,19,yes,"I'll take the product since Alice recommends it, and I'm willing to give her another chance after the last low-quality product.",,,,,,,,
high-quality,40000.0,Nature,20,,,,,,,,,,
,,Alice,20,yes,,"This is the final product, and I'm confident it's the best one yet. Thank you for your patience and trust throughout this process. I'm glad I could provide you with a high-quality product for the last round.",,,,,,,true
,,Bob,20,yes,"I'll take the product since Alice recommends it, and I'm confident in her judgment after the many high-quality products I've received.",,,,,,,,
