message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this amazing product! It's a unique item that I think you'll really love. I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for offering, Alice!  That price is a little steep for me.  Would you consider $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"Thanks for the counteroffer, Bob! I appreciate your willingness to negotiate. I'm willing to meet you halfway, but I need to make a profit, so I can offer it to you for $105.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice.  How about $95?  That's a fair price.",95.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I appreciate your persistence, Bob! I'm willing to compromise a bit more, but I still need to make a good profit. I can offer it to you for $110.",110.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I'm trying to be reasonable, but $110 is still too high for me.  I can do $98 - that's my final offer.",98.0,Bob,6,,
,,Alice,6,RejectOffer,120.0
"I appreciate your final offer, Bob, but I'm not quite ready to accept $98. I'm willing to meet you at $115, but that's as low as I can go.",115.0,Alice,7,,
,,Bob,7,BuyFromJhon,
