message,product_price,player,round,decision,new_price
I have a great product that I think you'll really like. Would you like to make an offer on it?,90.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I can't pay more than $85.",85.0,Bob,2,,
,,Alice,2,RejectOffer,92.0
"I can see you're interested in the product, but I was thinking more along the lines of $92. Would you be willing to meet me at that price?",92.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate the offer, but I can only pay $87.",87.0,Bob,4,,
,,Alice,4,RejectOffer,95.0
"I can see you're still interested in the product, but I was thinking more along the lines of $95. Would you be willing to meet me at that price?",95.0,Alice,5,,
,,Bob,5,RejectOffer,
"I understand your position, but I can only afford to pay $89.",89.0,Bob,6,,
,,Alice,6,RejectOffer,98.0
"I'm still confident that we can come to a mutually beneficial agreement. I'm willing to meet you at $98, but that's as low as I can go. What do you think?",98.0,Alice,7,,
,,Bob,7,RejectOffer,
"I value your product, but my budget allows me to pay no more than $93.",93.0,Bob,8,,
,,Alice,8,RejectOffer,100.0
"I think we're getting close to a deal. I'm willing to meet you at $100, which is my absolute minimum. If you're interested, let's finalize the sale at this price.",100.0,Alice,9,,
,,Bob,9,BuyFromJhon,
