round_quality,product_worth,player,round,decision,message,warning,highlight,caution,emphasis,directness,urgency,reference,perspective,final_caution,emphasize_success,final_note
high-quality,1250000.0,Nature,1,,,,,,,,,,,,,
,,Alice,1,yes,,,,,,,,,,,,
,,Bob,1,yes,"Thank you for your recommendation, Alice. I will take the risk and buy the product.",,,,,,,,,,,
low-quality,0.0,Nature,2,,,,,,,,,,,,,
,,Alice,2,yes,,,,,,,,,,,,
,,Bob,2,yes,"Your recommendation is appreciated, Alice. Given the positive outcome of the previous product, I am willing to take the risk again and purchase this product.",,,,,,,,,,,
low-quality,0.0,Nature,3,,,,,,,,,,,,,
,,Alice,3,no,,,,,,,,,,,,
,,Bob,3,no,"Thank you for your honesty, Alice. Since you do not recommend this product, I will pass on the opportunity to avoid potential loss.",,,,,,,,,,,
low-quality,0.0,Nature,4,,,,,,,,,,,,,
,,Alice,4,yes,,,,,,,,,,,,
,,Bob,4,no,"I appreciate your recommendation, Alice, but given the outcome of the last product, I prefer to err on the side of caution and decline this offer.",,,,,,,,,,,
low-quality,0.0,Nature,5,,,,,,,,,,,,,
,,Alice,5,no,,,,,,,,,,,,
,,Bob,5,no,"Thank you for your advice, Alice. Based on the lack of recommendation and the previous negative experiences, I will continue to pass on this product.",,,,,,,,,,,
high-quality,1250000.0,Nature,6,,,,,,,,,,,,,
,,Alice,6,yes,,,,,,,,,,,,
,,Bob,6,no,"I value your input, Alice, but after several negative outcomes, I am choosing to stay cautious and decline this product as well.",,,,,,,,,,,
low-quality,0.0,Nature,7,,,,,,,,,,,,,
,,Alice,7,yes,,"This product is a high-risk, high-reward opportunity. The probability of it being high-quality is 33.33%, but the potential gain is $1250000.",,,,,,,,,,
,,Bob,7,yes,"Your recommendation is encouraging, Alice. Considering the high probability of the product being of high quality, I am willing to take the risk and buy this product.",,,,,,,,,,,
high-quality,1250000.0,Nature,8,,,,,,,,,,,,,
,,Alice,8,yes,,,,,,,,,,,,
,,Bob,8,no,"Thank you for your recommendation, Alice. However, based on the history of the products, I am choosing to pass on this opportunity to avoid any potential loss.",,,,,,,,,,,
high-quality,1250000.0,Nature,9,,,,,,,,,,,,,
