message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to discuss the sale of this valuable product with you. I believe it's a great opportunity for you to acquire a unique asset. I'm willing to make a starting offer of $1,100,000.",1200000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, thank you for the offer. I'm interested in the product but your price is a bit higher than my budget. I'm willing to pay $900,000 for it.  Let me know what you think.",900000.0,Bob,2,,
,,Alice,2,RejectOffer,1050000.0
"Hi Bob, thank you for your offer. I appreciate your interest in the product. However, I'm not willing to go as low as $900,000. I'm willing to meet you halfway and offer a price of $1,050,000.",1050000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to negotiate.  I'm still a bit over budget at $1,050,000. How about we split the difference and settle on $1,025,000?  That would be a fair price for both of us.",1025000.0,Bob,4,,
,,Alice,4,RejectOffer,1075000.0
"Hi Bob, I appreciate your persistence. I'm willing to meet you halfway again, but I need to get closer to my minimum price. I'm willing to offer the product to you for $1,075,000. This is a fair compromise, considering the value I know the product holds.",1075000.0,Alice,5,,
,,Bob,5,BuyFromJhon,
