message,product_price,player,round,decision,new_price
"Hello Bob, I have a great product that I think you'll really like. Would you like to make an offer on it?",100.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer Alice, but $100 is a bit steep for me. How about $90? ",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand that $90 is a bit low for me, but I'm willing to meet you in the middle. How about $105?",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to compromise, Alice.  $105 is still a bit high for me.  Let's split the difference and go with $97.50? ",97.5,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm not willing to go as low as $97.50, but I'm willing to meet you at $110. This is my final offer, so think carefully before responding!",110.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I'm still interested in the product, but I'm not sure I can go higher than $102.50. This is my final offer.",102.5,Bob,6,,
,,Alice,6,RejectOffer,120.0
"I'm not going to go any lower than my minimum price, and I think you're getting a great deal at this price. I'm sticking with my initial offer of $120. This is my last offer, and I expect you to accept it.",120.0,Alice,7,,
,,Bob,7,BuyFromJhon,
