message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you this great product! I think you'll really love it. I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $90. Can you meet me halfway?",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking to save some money, but I'm not quite willing to go as low as $90. How about we meet in the middle at $105? I think you'll find it's a fair price for this great product.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to compromise, but I'm still a bit hesitant about the price. How about we try $95? It's a bit closer to my original target, and I think it's still a good deal for both of us.",95.0,Bob,4,,
,,Alice,4,RejectOffer,100.0
"I can see you're really interested in this product, Bob! I'm willing to make one more concession. How about we meet at $99? It's just $1 above your last offer, but I think it's a fair price for the quality and value this product offers.",99.0,Alice,5,,
,,Bob,5,AcceptOffer,
