message,product_price,player,round,decision,new_offer
I'm excited to offer you this great product! It's a fantastic deal for $120.,120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate the offer, but $120 is a bit steep for me. I'm willing to pay $90 for the product.",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a better deal, but I'm not willing to go as low as $90. I'm willing to meet you halfway at $105.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I'm still interested in the product, but $105 is still a bit too high for me. I'm willing to go up to $95.",95.0,Bob,4,,
,,Alice,4,RejectOffer,100.0
"I'm getting close to my minimum price, but I'm willing to make one more concession. I'll meet you at $99.",99.0,Alice,5,,
,,Bob,5,AcceptOffer,
