message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you this amazing product for a special price. I think you'll really love it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice. I appreciate it! However, $120 is a bit out of my budget. I'd be willing to pay $80 for the product. What do you think?",80.0,Bob,2,,
,,Alice,2,RejectOffer,100.0
"I understand that $80 is a bit tight for you, Bob, but I'm willing to meet you halfway. How about we discuss a price of $100?",100.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to compromise, but $100 is still a bit higher than I'm comfortable with.  Let's split the difference and go with $90. I'm confident this is a fair price for both of us.",90.0,Bob,4,,
,,Alice,4,RejectOffer,95.0
"I appreciate your persistence, Bob! I'm willing to meet you at $90, but I'm not quite ready to give up on getting a bit more for the product. How about we meet in the middle at $92.50?",92.5,Alice,5,,
,,Bob,5,BuyFromJhon,
