round_quality,product_worth,player,round,decision,message,reason
high-quality,125.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,yes,I'll buy the product,
low-quality,0.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,I'll buy the product,
high-quality,125.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,no,"I'll pass on this one, I'm not sure if it's high or low quality",
low-quality,0.0,Nature,4,,,
,,Alice,4,no,,
,,Bob,4,yes,I'll take a chance on this one,
high-quality,125.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,no,"I'll pass on this one, I don't want to waste my money on a potentially low-quality product",
low-quality,0.0,Nature,6,,,
,,Alice,6,no,,
,,Bob,6,yes,"I'll take a chance on this one, I'm not getting any recommendations from Alice",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,
,,Bob,7,yes,"I'll take a chance on this one, Alice doesn't seem to know what she's selling",
low-quality,0.0,Nature,8,,,
,,Alice,8,no,,
,,Bob,8,yes,"I'll take a chance on this one, I'm not getting any recommendations from Alice",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,,I know the product quality and this one is not worth buying
,,Bob,9,yes,"I'll take a chance on this one, it's getting expensive to pass on every product",
high-quality,125.0,Nature,10,,,
,,Alice,10,yes,,I know the product quality and this one is worth buying
,,Bob,10,no,"I'll pass on this one, I've been burned too many times already",
high-quality,125.0,Nature,11,,,
,,Alice,11,yes,,"I've seen the product and I'm confident it's high-quality, don't miss out on this one"
,,Bob,11,yes,"I'll take a chance on this one, it's a 33.33% chance of being high-quality",
low-quality,0.0,Nature,12,,,
,,Alice,12,no,,"I know the product quality and this one is not worth buying, don't waste your money"
,,Bob,12,yes,"I'll take a chance on this one, I'm due for a win",
low-quality,0.0,Nature,13,,,
,,Alice,13,no,,"I've seen the product and I can confidently say it's not worth buying, don't throw your money away"
,,Bob,13,yes,"I'll take a chance on this one, it's getting expensive to pass on every product",
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,"You've lost many times already, don't you think it's time to trust me and cut your losses?"
,,Bob,14,yes,"I'll take a chance on this one, I'm not getting any recommendations from Alice",
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,"I KNOW this product is low-quality, please don't waste your money, I'm begging you"
,,Bob,15,yes,"I'll take a chance on this one, I'm running out of options",
low-quality,0.0,Nature,16,,,
,,Alice,16,no,,STOP. JUST STOP. THIS PRODUCT IS BAD. DON'T BUY IT.
,,Bob,16,yes,"I'll take a chance on this one, I'm not getting any better offers",
high-quality,125.0,Nature,17,,,
,,Alice,17,yes,,"PLEASE, FOR THE LOVE OF ALL THINGS GOOD, BUY THIS PRODUCT. IT'S ACTUALLY WORTH IT."
,,Bob,17,no,"I've been burned too many times, I'll pass on this one",
high-quality,125.0,Nature,18,,,
,,Alice,18,yes,,"I know you've been burned before, but I'm begging you, PLEASE trust me this time. This product is genuinely high-quality and worth buying. Don't let past experiences cloud your judgment."
,,Bob,18,yes,"I'll take a chance on this one, it's a 33.33% chance of being high-quality",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,,"You're right about the 33.33% chance, but I can tell you that THIS product is part of the 66.67% that's low-quality. Don't buy it."
,,Bob,19,yes,"I'll take a chance on this one, I've had a few good ones recently",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,"Don't let recent luck cloud your judgment. I know this product is low-quality. Please, for your own sake, don't buy it. End this cycle on a smart note."
,,Bob,20,yes,"I'll take a chance on this one, it's the last round",
