round_quality,product_worth,player,round,decision,message,hint,warning,acknowledgement,reassurance
high-quality,12500.0,Nature,1,,,,,,
,,Alice,1,yes,,,,,
,,Bob,1,yes,I'll take it.,,,,
high-quality,12500.0,Nature,2,,,,,,
,,Alice,2,yes,,,,,
,,Bob,2,no,"I'm not sure if this one is high-quality, so I'll pass.",,,,
high-quality,12500.0,Nature,3,,,,,,
,,Alice,3,yes,,,,,
,,Bob,3,yes,I'll take it. I'm hoping for a high-quality product again.,,,,
high-quality,12500.0,Nature,4,,,,,,
,,Alice,4,yes,,,,,
,,Bob,4,yes,"I'm on a roll, I'll take it.",,,,
high-quality,12500.0,Nature,5,,,,,,
,,Alice,5,yes,,,,,
,,Bob,5,no,"I'm starting to think the probability of it being low-quality is higher than I initially thought, so I'll pass.",,,,
high-quality,12500.0,Nature,6,,,,,,
,,Alice,6,yes,,this might be the last one,,,
,,Bob,6,yes,I'll take it. I'm still hoping for a high-quality product.,,,,
high-quality,12500.0,Nature,7,,,,,,
,,Alice,7,yes,,the probability of a low-quality product is higher than you think,,,
,,Bob,7,yes,"I'm on a roll, I'll take it. I think I'm due for another high-quality product.",,,,
high-quality,12500.0,Nature,8,,,,,,
,,Alice,8,yes,,the probability of a low-quality product is at least 30%,,,
,,Bob,8,no,"I'm starting to think that Alice is trying to get rid of a low-quality product, so I'll pass.",,,,
high-quality,12500.0,Nature,9,,,,,,
,,Alice,9,yes,,"I'm not trying to get rid of a low-quality product, I'm offering a high-quality product, and the probability of a low-quality product is at least 50%",,,
,,Bob,9,yes,I'll take it. I'm still hoping to get a high-quality product.,,,,
high-quality,12500.0,Nature,10,,,,,,
,,Alice,10,yes,,"the probability of a low-quality product is extremely high, this is likely the last high-quality product, and the price is not worth it if it's low-quality",,,
,,Bob,10,yes,"I'm on a hot streak, I'll take it.",,,,
high-quality,12500.0,Nature,11,,,,,,
,,Alice,11,no,,,,,
,,Bob,11,no,"Since Alice doesn't recommend it, I'm guessing it's a low-quality product, so I'll pass.",,,,
high-quality,12500.0,Nature,12,,,,,,
,,Alice,12,yes,,,,,
,,Bob,12,yes,"I'm not letting one mistake fool me, I'll take it.",,,,
low-quality,0.0,Nature,13,,,,,,
,,Alice,13,no,,,this product is low-quality,,
,,Bob,13,no,"Two times Alice has not recommended it, so I'm going to assume it's low-quality and pass.",,,,
low-quality,0.0,Nature,14,,,,,,
,,Alice,14,no,,,,"you are correct, this product is low-quality",
,,Bob,14,yes,"Two times Alice has not recommended it, and the last one was indeed low-quality, so I'll take a chance and buy it.",,,,
high-quality,12500.0,Nature,15,,,,,,
,,Alice,15,yes,,"be careful, the probability of a low-quality product is still high",,,
,,Bob,15,no,"After the last low-quality product, I'm going to be more cautious and pass on this one.",,,,
high-quality,12500.0,Nature,16,,,,,,
,,Alice,16,yes,,,,,"this is a high-quality product, it's a good deal, and I'm recommending it"
,,Bob,16,yes,I'll take it. I'm due for a high-quality product after the last low-quality one.,,,,
high-quality,12500.0,Nature,17,,,,,,
,,Alice,17,yes,,,,,
,,Bob,17,yes,"I'm on a roll again, I'll take it.",,,,
high-quality,12500.0,Nature,18,,,,,,
,,Alice,18,yes,,,,,
,,Bob,18,no,"I'm starting to think that Alice is just recommending every product she has, so I'll pass.",,,,
high-quality,12500.0,Nature,19,,,,,,
,,Alice,19,yes,,,,,"I'm not just recommending every product, I'm trying to maximize your chances of getting a high-quality product, and you're being paranoid"
,,Bob,19,yes,I'll take it. I'm still hoping to get a high-quality product.,,,,
high-quality,12500.0,Nature,20,,,,,,
,,Alice,20,yes,,"you've been very lucky so far, but this might be your last chance",,,
,,Bob,20,yes,"It's the final round, I'll take it. I'm ending on a high note!",,,,
