message,product_price,player,round,decision,counteroffer,warranty
"Hello Bob, I'm excited to offer you our premium product, which has been meticulously designed to meet your needs. With its advanced features and exceptional quality, it's sure to exceed your expectations. For this unique opportunity, I am offering the product at $20000. I believe this price reflects the value and benefits it will bring to you.",20000.0,Alice,1,,,
,,Bob,1,RejectOffer,18000.0,
"I'm very interested in the product, but I was thinking more along the lines of $17000. I believe that's a fair price considering the features and quality you mentioned.",17000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"Thank you for your interest in our product, Bob. I appreciate your feedback and understanding of its value. In light of your offer, I would like to counter with a price of $18500. This still reflects the high quality and unique features of the product while being responsive to your considerations.",18500.0,Alice,3,,,
,,Bob,3,RejectOffer,16500.0,
"I'm still very interested in the product, but I think $16000 is a more reasonable price considering the market value and my budget. I'm willing to meet you halfway, but I need to stay within my budget.",16000.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"Thank you for your continued interest, Bob. I understand your position and am willing to consider your proposal. I would like to counter with a price of $17250. This is a bit higher than your offer but still reflects the value of the product.",17250.0,Alice,5,,,
,,Bob,5,RejectOffer,16200.0,
"I'm still very interested in the product, but I need to stay within my budget. I'm willing to pay $16000 for the product, but I'd like to request a 2-year warranty as part of the deal. This would give me peace of mind and ensure I get the most out of the product.",16000.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"Thank you for your patience and understanding, Bob. I appreciate your request for a warranty. I am willing to include a 1-year warranty in the deal. Considering your offer and the inclusion of the warranty, I propose a final price of $16750 for the product.",16750.0,Alice,7,,,
,,Bob,7,RejectOffer,16500.0,2-year warranty
"I'm still very interested in the product, and I'm willing to meet you halfway on the price. I'm willing to pay $16200 for the product, but I'd like to stick with my original request for a 2-year warranty. I believe this is a fair compromise.",16200.0,Bob,8,,,2-year warranty
,,Alice,8,RejectOffer,,
"Thank you for your continued interest, Bob. I appreciate your willingness to meet halfway on the price. Considering your offer and the inclusion of a 2-year warranty, I am proposing a final price of $16500 for the product.",16500.0,Alice,9,,,
,,Bob,9,RejectOffer,16000.0,2-year warranty
"This is my final offer, Alice. I'm willing to pay $16000 for the product, and I'm sticking with my request for a 2-year warranty. If you're not willing to meet me at this price, I'll have to consider other options. I'm eager to finalize this deal, but I need to stay within my budget.",16000.0,Bob,10,,,2-year warranty
,,Alice,10,AcceptOffer,,
