message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this great product! I think you'll really love it. I'm willing to sell it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer! That price is a little high for me.  Would you consider $60?",60.0,Bob,2,,
,,Alice,2,RejectOffer,100.0
"Thanks for your offer, Bob! I appreciate your interest in the product. However, I was thinking more along the lines of $120, which is the minimum price I'm willing to consider. Would you be willing to meet me in the middle at $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me Alice.  While $110 is closer, it's still a bit above my budget.  How about we settle at $80?",80.0,Bob,4,,
,,Alice,4,RejectOffer,90.0
"I understand you're on a tight budget, Bob, but I really need to make a profit on this sale. I'm willing to meet you at $90, but I think I can do better than that. How about we try $92?",92.0,Alice,5,,
,,Bob,5,BuyFromJhon,
