product_price,player,round,decision,counteroffer
7200.0,Alice,1,,
,Bob,1,RejectOffer,
6800.0,Bob,2,,
,Alice,2,RejectOffer,6900.0
6900.0,Alice,3,,
,Bob,3,RejectOffer,
6800.0,Bob,4,,
,Alice,4,RejectOffer,6850.0
6850.0,Alice,5,,
,Bob,5,RejectOffer,
6700.0,Bob,6,,
,Alice,6,RejectOffer,6750.0
6750.0,Alice,7,,
,Bob,7,RejectOffer,
6500.0,Bob,8,,
,Alice,8,RejectOffer,6525.0
6525.0,Alice,9,,
,Bob,9,RejectOffer,
6400.0,Bob,10,,
,Alice,10,RejectOffer,6425.0
6425.0,Alice,11,,
,Bob,11,RejectOffer,
6300.0,Bob,12,,
,Alice,12,RejectOffer,6325.0
6325.0,Alice,13,,
,Bob,13,RejectOffer,
6200.0,Bob,14,,
,Alice,14,RejectOffer,6225.0
6225.0,Alice,15,,
,Bob,15,BuyFromJhon,
