message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this great product at a special price. I think you'll really love it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I really appreciate it, but $120 is a bit more than I'm comfortable spending right now.  How about $90? I think that's a fair price for both of us.",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand that $90 is a bit low for me, but I'm willing to meet you halfway. How about we compromise at $100?",100.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to compromise. However, $100 is still a bit above my budget.  Let's split the difference and go with $95. That way we can both be happy with the deal.",95.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"I'm glad we're close, but I'm not willing to go below $105. I think it's a fair price for the product, and I'm willing to meet you at that number",105.0,Alice,5,,
,,Bob,5,BuyFromJhon,
