message,product_price,player,round,decision,counteroffer
"Hello Bob, I have a great product that I think you'll really like. Would you like to make an offer on it?",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, thanks for the offer but $150 is a bit high for me. I'm willing to pay $85. Let me know what you think.",85.0,Bob,2,,
,,Alice,2,RejectOffer,135.0
"Thanks for your offer, Bob. I can do a bit better than that. How about $135?",135.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice,  $135 is still a bit higher than what I'm comfortable paying. How about $100? This is a fair price for both of us. ",100.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I understand you're looking for a fair price, Bob. I'm willing to meet you halfway, but I still need to make a profit. How about $115?",115.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate your willingness to compromise, but $115 is still too high for me.  I'm willing to go up to $95. If you're serious about selling, let's make this happen.",95.0,Bob,6,,
,,Alice,6,RejectOffer,110.0
"I'm not willing to go as low as $95, Bob. I'm willing to meet you halfway between $95 and $115, which is $105. How about that?",105.0,Alice,7,,
,,Bob,7,BuyFromJhon,
