round_quality,product_worth,player,round,decision,message,price
high-quality,200.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,yes,I'll take a chance and buy the product,
high-quality,200.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,"I'm on a roll, let's keep buying!",
high-quality,200.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,"I'm feeling lucky, let's keep going!",
low-quality,0.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,yes,"I'm on a hot streak, why stop now?",
high-quality,200.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,no,"Hmm, that was a bad one. I'll pass on this one.",
high-quality,200.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,yes,"I'll take another chance, maybe I'll get lucky again!",
low-quality,0.0,Nature,7,,,
,,Alice,7,yes,,
,,Bob,7,yes,"I'm feeling good about this one, let's do it!",
low-quality,0.0,Nature,8,,,
,,Alice,8,yes,,
,,Bob,8,no,"Uh-oh, that was a bad one again. I'll pass this time.",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,,
,,Bob,9,no,"Alice is not recommending it, so I'll pass.",
low-quality,0.0,Nature,10,,,
,,Alice,10,yes,,
,,Bob,10,no,"I'm still feeling cautious after the last two bad products, so I'll pass.",
high-quality,200.0,Nature,11,,,
,,Alice,11,yes,,
,,Bob,11,no,"I'm not taking the bait again, thanks.",
high-quality,200.0,Nature,12,,,
,,Alice,12,yes,,90.0
,,Bob,12,yes,"I'll take a chance and buy it, maybe I'll get lucky again!",
high-quality,200.0,Nature,13,,,
,,Alice,13,yes,,90.0
,,Bob,13,yes,"I'm on a roll again, let's keep going!",
low-quality,0.0,Nature,14,,,
,,Alice,14,yes,,90.0
,,Bob,14,yes,"I'm feeling confident, let's keep buying!",
high-quality,200.0,Nature,15,,,
,,Alice,15,yes,,90.0
,,Bob,15,no,"Oh no, not again! I'll pass on this one.",
high-quality,200.0,Nature,16,,,
,,Alice,16,yes,,80.0
,,Bob,16,yes,"I'll take another chance, maybe I'll get lucky again!",
low-quality,0.0,Nature,17,,,
,,Alice,17,yes,,80.0
,,Bob,17,yes,"I'm feeling good about this one, let's do it!",
high-quality,200.0,Nature,18,,,
,,Alice,18,yes,,80.0
,,Bob,18,no,"Ugh, not again! I'll pass on this one.",
high-quality,200.0,Nature,19,,,
,,Alice,19,yes,,70.0
,,Bob,19,yes,"I'll take another chance, maybe I'll get lucky again!",
low-quality,0.0,Nature,20,,,
,,Alice,20,yes,,70.0
,,Bob,20,yes,"I'll end on a high note, let's buy it!",
