alice_gain,bob_gain,player,round,decision
6000.0,4000.0,Alice,1,
,,Bob,1,reject
4500.0,5500.0,Bob,2,
,,Alice,2,reject
5400.0,4600.0,Alice,3,
,,Bob,3,reject
5200.0,4800.0,Bob,4,
,,Alice,4,reject
4860.0,5140.0,Alice,5,
,,Bob,5,reject
4700.0,5300.0,Bob,6,
,,Alice,6,reject
4416.0,5584.0,Alice,7,
,,Bob,7,reject
4300.0,5700.0,Bob,8,
,,Alice,8,reject
4088.0,5912.0,Alice,9,
,,Bob,9,reject
4000.0,6000.0,Bob,10,
,,Alice,10,reject
3840.0,6160.0,Alice,11,
,,Bob,11,reject
3800.0,6200.0,Bob,12,
,,Alice,12,accept
