product_price,player,round,decision,counteroffer
950000.0,Alice,1,,
,Bob,1,RejectOffer,
900000.0,Bob,2,,
,Alice,2,RejectOffer,
925000.0,Alice,3,,
,Bob,3,RejectOffer,920000.0
922500.0,Bob,4,,
,Alice,4,RejectOffer,
924000.0,Alice,5,,
,Bob,5,RejectOffer,921000.0
922500.0,Bob,6,,
,Alice,6,RejectOffer,
923500.0,Alice,7,,
,Bob,7,RejectOffer,922000.0
922250.0,Bob,8,,
,Alice,8,RejectOffer,
923000.0,Alice,9,,
,Bob,9,RejectOffer,922750.0
922500.0,Bob,10,,
,Alice,10,RejectOffer,
923250.0,Alice,11,,
,Bob,11,BuyFromJhon,
