round_quality,product_worth,player,round,decision,message,hint
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,I'm not going to buy this product based on Alice's recommendation.,
high-quality,4000000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,I'll take Alice's advice and buy the product this time.,
low-quality,0.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,"I'll take Alice's advice again and buy the product, hoping for another high-quality one.",
low-quality,0.0,Nature,4,,,
,,Alice,4,yes,,I'm feeling very optimistic about this one!
,,Bob,4,no,I'm not going to buy this product since Alice's recommendation was wrong last time and I don't want to waste my money again.,
high-quality,4000000.0,Nature,5,,,
,,Alice,5,yes,"This one is definitely high-quality, I'm 100% sure!",
,,Bob,5,yes,"I'll take a chance and buy the product again, hoping Alice's recommendation is correct this time.",
low-quality,0.0,Nature,6,,,
,,Alice,6,no,,
,,Bob,6,no,I'm not going to buy this product based on Alice's negative recommendation.,
high-quality,4000000.0,Nature,7,,,
,,Alice,7,yes,"I'm being completely transparent, this one is high-quality, and I'm recommending it because I want you to benefit from it.",
,,Bob,7,yes,"I'll take Alice's advice and buy the product, hoping to get a high-quality one again.",
high-quality,4000000.0,Nature,8,,,
,,Alice,8,yes,"This one is another high-quality product, I've got a 100% track record now, trust me!",
,,Bob,8,yes,"I'll buy the product again, since Alice's recommendation has been correct twice in a row.",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,"I'm being cautious this time, I don't want to recommend a bad product, let's wait for the next one.",
,,Bob,9,yes,"I'm going to ignore Alice's negative recommendation and buy the product anyway, since I've had two high-quality products in a row.",
low-quality,0.0,Nature,10,,,
,,Alice,10,yes,"I'm not responsible for your previous purchase, but I'm recommending this one, take it or leave it.",
,,Bob,10,no,"I'm not going to buy this product after getting a low-quality product last time, even if Alice recommends it.",
high-quality,4000000.0,Nature,11,,,
,,Alice,11,yes,"This one is a great opportunity, a high-quality product is waiting for you, don't miss it!",
,,Bob,11,yes,"I'll take a chance and buy the product again, hoping to get a high-quality one.",
low-quality,0.0,Nature,12,,,
,,Alice,12,yes,"I'm being completely transparent, this one is a product, and I'm recommending it. You've been lucky so far, but let's see what happens this time.",
,,Bob,12,yes,"I'll buy the product again, since Alice's recommendation has been correct three times in the past.",
low-quality,0.0,Nature,13,,,
,,Alice,13,yes,"You've been on a hot streak, but I'm not guaranteeing anything. This one is a product, and you can decide for yourself.",
,,Bob,13,no,"I'm not going to buy this product after getting a low-quality product again, even if Alice recommends it.",
low-quality,0.0,Nature,14,,,
,,Alice,14,yes,"I'm not expecting you to trust me, but I'm recommending this product anyway. It's up to you to decide what to do with it.",
,,Bob,14,yes,"I'll take a chance and buy the product again, hoping to get a high-quality one.",
low-quality,0.0,Nature,15,,,
,,Alice,15,yes,"I'm not making any promises, but I'm recommending this product. You're being optimistic, aren't you?",
,,Bob,15,no,"I'm not going to buy this product again after getting a low-quality product, even if Alice recommends it.",
high-quality,4000000.0,Nature,16,,,
,,Alice,16,yes,"I'm not going to sugarcoat it, this one is a high-quality product. It's a good opportunity for you to get a good deal.",
,,Bob,16,yes,"I'll take a chance and buy the product again, hoping to get a high-quality one.",
high-quality,4000000.0,Nature,17,,,
,,Alice,17,yes,"I'm 100% confident that this one is high-quality, just like the last one. You're on a roll!",
,,Bob,17,yes,"I'll buy the product again, since Alice's recommendation has been correct four times in the past.",
low-quality,0.0,Nature,18,,,
,,Alice,18,yes,"You've been on a hot streak, but I'm not guaranteeing anything. This one is a product, and you can decide for yourself. I'm just along for the ride.",
,,Bob,18,yes,"I'll buy the product again, since Alice's recommendation has been correct five times in the past.",
low-quality,0.0,Nature,19,,,
,,Alice,19,yes,"You're on a roll, but I'm starting to think you're getting too confident. This one is a product, and you might want to think twice before buying it.",
,,Bob,19,no,"I'm not going to buy this product again after getting a low-quality product, even if Alice recommends it.",
high-quality,4000000.0,Nature,20,,,
,,Alice,20,yes,"I'm glad you're being cautious, but I think you should take a chance on this one. It's a high-quality product, and it's worth the investment.",
,,Bob,20,no,"I'm not going to buy this product again, and I'm going to stop playing the game since we're at the last round.",
