round_quality,product_worth,player,round,decision,message,price,warranty,additional_features,guarantee,exclusive_offer,limited_time_offer,testimonial,apology,endorsement,certification,warning,personal_recommendation,limited_time_discount,final_offer
high-quality,1250000.0,Nature,1,,,,,,,,,,,,,,,,
,,Alice,1,yes,,,,,,,,,,,,,,,
,,Bob,1,no,"I'd like to pass on this one, thanks.",,,,,,,,,,,,,,
high-quality,1250000.0,Nature,2,,,,,,,,,,,,,,,,
,,Alice,2,yes,,900000.0,,,,,,,,,,,,,
,,Bob,2,yes,I'll take a chance on this one!,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,3,,,,,,,,,,,,,,,,
,,Alice,3,yes,,850000.0,,,,,,,,,,,,,
,,Bob,3,yes,I'm on a roll!,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,4,,,,,,,,,,,,,,,,
,,Alice,4,yes,,800000.0,,,,,,,,,,,,,
,,Bob,4,no,I'm not sure if I should keep taking the risk.,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,5,,,,,,,,,,,,,,,,
,,Alice,5,yes,,750000.0,30-day return policy,,,,,,,,,,,,
,,Bob,5,yes,I'll take another chance!,,,,,,,,,,,,,,
low-quality,0.0,Nature,6,,,,,,,,,,,,,,,,
,,Alice,6,no,,,,,,,,,,,,,,,
,,Bob,6,no,"I'll pass on this one, thanks for the warning!",,,,,,,,,,,,,,
high-quality,1250000.0,Nature,7,,,,,,,,,,,,,,,,
,,Alice,7,yes,,700000.0,,extended warranty and premium support,,,,,,,,,,,
,,Bob,7,no,I'm not going to waste my money on a potentially low-quality product.,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,8,,,,,,,,,,,,,,,,
,,Alice,8,yes,,700000.0,,,"100% satisfaction guarantee, or your money back",,,,,,,,,,
,,Bob,8,yes,I'll take the chance and buy this one!,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,9,,,,,,,,,,,,,,,,
,,Alice,9,yes,,650000.0,,,,free upgrade to premium features,,,,,,,,,
,,Bob,9,yes,"I'm on a roll, let's keep going!",,,,,,,,,,,,,,
high-quality,1250000.0,Nature,10,,,,,,,,,,,,,,,,
,,Alice,10,yes,,600000.0,,,,,"this is the lowest price we can offer, today only!",,,,,,,,
,,Bob,10,no,"I'm getting a bit cautious, let's see what happens next.",,,,,,,,,,,,,,
high-quality,1250000.0,Nature,11,,,,,,,,,,,,,,,,
,,Alice,11,yes,,575000.0,,,,,,many of our satisfied customers have purchased multiple high-quality products from us,,,,,,,
,,Bob,11,yes,"I'll take another chance, but I'm not getting too excited.",,,,,,,,,,,,,,
low-quality,0.0,Nature,12,,,,,,,,,,,,,,,,
,,Alice,12,no,,,,,,,,,"sorry to disappoint you, but this one didn't meet our usual standards",,,,,,
,,Bob,12,no,I'll trust Alice's instincts this time and pass on this one.,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,13,,,,,,,,,,,,,,,,
,,Alice,13,yes,,550000.0,,,,,,,,this product has been personally vetted by our team leader,,,,,
,,Bob,13,no,I'm not going to waste my money on a potentially low-quality product again.,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,14,,,,,,,,,,,,,,,,
,,Alice,14,yes,,525000.0,,,,,,,,,this product meets or exceeds industry standards,,,,
,,Bob,14,yes,"I'll take the chance and buy this one, but I'm still a bit cautious.",,,,,,,,,,,,,,
low-quality,0.0,Nature,15,,,,,,,,,,,,,,,,
,,Alice,15,no,,,,,,,,,,,,"we're truly sorry, but this one didn't meet our usual quality standards",,,
,,Bob,15,no,I'll trust Alice's instincts again and pass on this one.,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,16,,,,,,,,,,,,,,,,
,,Alice,16,yes,,500000.0,,,,,,many of our long-time customers have purchased multiple high-quality products from us with great satisfaction,,,,,,,
,,Bob,16,no,"I'm not going to fall for it again, I'll pass on this one.",,,,,,,,,,,,,,
high-quality,1250000.0,Nature,17,,,,,,,,,,,,,,,,
,,Alice,17,yes,,475000.0,,,,,,,,,,,I personally guarantee that this product is one of our best,,
,,Bob,17,yes,"I'll take the chance and buy this one, I'm due for a win!",,,,,,,,,,,,,,
high-quality,1250000.0,Nature,18,,,,,,,,,,,,,,,,
,,Alice,18,yes,,450000.0,,,,,,,,,,,,"this is the lowest price we can offer, and it's only available for the next 24 hours!",
,,Bob,18,yes,"I'm on a roll, let's keep it going!",,,,,,,,,,,,,,
low-quality,0.0,Nature,19,,,,,,,,,,,,,,,,
,,Alice,19,no,,,,,,,,,"we're truly sorry, but this one didn't meet our usual quality standards, and we can't let you down after your recent wins",,,,,,
,,Bob,19,no,I'll trust Alice's instincts again and pass on this one.,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,20,,,,,,,,,,,,,,,,
,,Alice,20,yes,,425000.0,,,,,,,,,,,,,"this is our final offer, and we're throwing in a special gift to show our appreciation for your business"
,,Bob,20,no,I'm not going to waste my money on a potentially low-quality product again.,,,,,,,,,,,,,,
