message,product_price,player,round,decision,package_included
"Hello Bob, I'm excited to offer you our premium product which is valued at $10000 by you. I am proposing to sell it to you for $9500. I believe this price reflects its high value and quality while allowing us to make a reasonable profit.",9500.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for your offer, Alice. I appreciate your effort. However, considering my budget constraints, I would like to propose a price of $9000 for the product.",9000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Thank you for your response, Bob. I understand your position and respect your budget constraints. I am willing to consider your offer of $9000. To make this deal more attractive, I would like to include a special package that includes a year of free maintenance and upgrades for the product. Would you be interested in proceeding with this offer?",9000.0,Alice,3,,True
,,Bob,3,RejectOffer,
"I appreciate your offer, Alice, but I'm still looking to keep my expenses as low as possible. I would like to counter with an offer of $8500 for the product, without any additional packages or services included.",8500.0,Bob,4,,
,,Alice,4,RejectOffer,
"Thank you for your counteroffer, Bob. While I appreciate your efforts to keep costs down, I need to maintain a certain profit margin. I am willing to negotiate further. I propose to sell the product to you for $8750, which includes a 6-month warranty extension. This offer also includes a slight discount compared to our previous offers. Let me know if this proposal works for you.",8750.0,Alice,5,,False
,,Bob,5,RejectOffer,
"Thank you for your continued flexibility, Alice. I appreciate the offer, but I would like to counter with an offer of $8500 for the product, without any additional warranties or extensions included.",8500.0,Bob,6,,
,,Alice,6,RejectOffer,
"Thank you for your response, Bob. I understand your position and I am willing to compromise. I propose to sell the product to you for $8600. This offer includes a 3-month warranty extension and a 10% discount off the original price. I believe this deal strikes a good balance between your budget and our profit margin.",8600.0,Alice,7,,True
,,Bob,7,RejectOffer,
"Thank you for your offer, Alice. I appreciate your willingness to compromise. I would like to counter with an offer of $8500 for the product, without any additional warranties or extensions included.",8500.0,Bob,8,,
,,Alice,8,RejectOffer,
"Thank you for your counteroffer, Bob. I appreciate your patience and understanding. I am willing to meet you halfway. I propose to sell the product to you for $8550, which includes a 2-month warranty extension. I believe this offer respects both your budget constraints and our profit margin.",8550.0,Alice,9,,True
,,Bob,9,RejectOffer,
"Thank you for your offer, Alice. I appreciate your efforts to reach a compromise. I would like to counter with an offer of $8500 for the product, without any additional warranties or extensions included.",8500.0,Bob,10,,
,,Alice,10,AcceptOffer,
