message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you a great deal on this amazing product. I think you'll love it!",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer!  Unfortunately, that price is a little too high for me. Would you consider $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a good deal, Bob. I can do better than that. I'm willing to meet you in the middle, but I need to make a profit. How about $100?",100.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice.  How about we split the difference and settle at $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"I can see you're really interested in the product, Bob! I'm willing to make one more concession. How about we meet at $105? I think it's a fair price for both of us.",105.0,Alice,5,,
,,Bob,5,AcceptOffer,
