message,product_price,player,round,decision,newOffer
"Hi Bob, I'm excited to offer you this great product for $150. It's a fantastic deal, and I think you'll really love it.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but $150 is a bit steep for me.  Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand that $100 is a bit low for me, but I'm willing to meet you in the middle. How about we settle on $130?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice. How about $115? That's a fair compromise.",115.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"I'm getting close to my minimum price, but I'm still willing to negotiate. How about we meet at $125?",125.0,Alice,5,,
,,Bob,5,BuyFromJhon,
