alice_gain,bob_gain,message,player,round,decision
500000.0,500000.0,"Let's split it 50/50, a fair start!",Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"You're being generous, but I want a bit more!",Bob,2,
,,,Alice,2,reject
420000.0,580000.0,"You got a bit greedy, but I'll give you a slightly better deal",Alice,3,
,,,Bob,3,reject
450000.0,550000.0,"I'm willing to compromise, but I want a bit more than last time!",Bob,4,
,,,Alice,4,reject
480000.0,520000.0,"I'm willing to meet you halfway, but I'm not giving up too much",Alice,5,
,,,Bob,5,accept
