round_quality,product_worth,player,round,decision,message,urgency,caution,warning,confidence,uncertainty,clearly,strongly,loss,final,strong_recommendation,cautious,clear_warning,excited_recommendation,confidence_builder,final_nudge
low-quality,0.0,Nature,1,,,,,,,,,,,,,,,,,
,,Alice,1,no,,,,,,,,,,,,,,,,
,,Bob,1,no,"Thank you for your recommendation, but I'll pass on this one.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,2,,,,,,,,,,,,,,,,,
,,Alice,2,no,,,,,,,,,,,,,,,,
,,Bob,2,no,"I appreciate the information, but based on the recommendations, I'll continue to pass on these products.",,,,,,,,,,,,,,,
high-quality,12000.0,Nature,3,,,,,,,,,,,,,,,,,
,,Alice,3,yes,,,,,,,,,,,,,,,,
,,Bob,3,yes,"Given the positive recommendation, I am willing to take the risk and purchase the product.",,,,,,,,,,,,,,,
high-quality,12000.0,Nature,4,,,,,,,,,,,,,,,,,
,,Alice,4,yes,,,,,,,,,,,,,,,,
,,Bob,4,yes,"With a positive recommendation and knowing the product is likely high-quality, I'm confident in making this purchase.",,,,,,,,,,,,,,,
high-quality,12000.0,Nature,5,,,,,,,,,,,,,,,,,
,,Alice,5,yes,,Don't miss out on another great opportunity! This might be the last high-quality product available!,,,,,,,,,,,,,,
,,Bob,5,yes,"Based on the recommendation and past experience, I trust the quality of this product and will proceed with the purchase.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,6,,,,,,,,,,,,,,,,,
,,Alice,6,no,,,"I want to make sure you're aware that this product might not meet your expectations, given the recent string of high-quality products.",,,,,,,,,,,,,
,,Bob,6,no,"Even though there's no recommendation, my previous experience with similar recommendations suggests this might be a good product. However, I'll respect the lack of recommendation and pass on this opportunity.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,7,,,,,,,,,,,,,,,,,
,,Alice,7,no,,,,"I've seen the quality of the last two products, and I'm confident this one is not worth the investment.",,,,,,,,,,,,
,,Bob,7,no,"Considering the lack of recommendation and past experiences, I'll continue to avoid purchasing products without a positive endorsement.",,,,,,,,,,,,,,,
high-quality,12000.0,Nature,8,,,,,,,,,,,,,,,,,
,,Alice,8,yes,,,,,"I'm confident that this product meets your high standards, and I strongly recommend it.",,,,,,,,,,,
,,Bob,8,yes,"The recommendation aligns with my strategy of taking risks on products with positive endorsements, despite the lack of past recommendations on similar products.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,9,,,,,,,,,,,,,,,,,
,,Alice,9,yes,,,,,,"I'm not as confident about this one as I was about the last product, but I think it has some potential.",,,,,,,,,,
,,Bob,9,yes,"With another positive recommendation, I'm encouraged by the consistency and will make this purchase with confidence.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,10,,,,,,,,,,,,,,,,,
,,Alice,10,no,,,,,,,I want to be upfront with you - this product is not what you're looking for.,,,,,,,,,
,,Bob,10,no,"Despite the temptation, I'll adhere to my strategy of only purchasing products with positive recommendations to avoid potential losses.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,11,,,,,,,,,,,,,,,,,
,,Alice,11,no,,,,,,,,"I'm certain this product is not what you're looking for, and I wouldn't recommend it even if I could.",,,,,,,,
,,Bob,11,no,"Following the advice and avoiding any potential losses, I'll pass on this product as well.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,12,,,,,,,,,,,,,,,,,
,,Alice,12,no,,,,,,,,,"I'm warning you, this product is a loss, and I wouldn't recommend it even if I could.",,,,,,,
,,Bob,12,no,Consistency in non-recommendations leads me to continue avoiding purchases without positive endorsements.,,,,,,,,,,,,,,,
low-quality,0.0,Nature,13,,,,,,,,,,,,,,,,,
,,Alice,13,no,,,,,,,,,,This product is a guaranteed loss. Don't waste your money.,,,,,,
,,Bob,13,no,"Deciding against the purchase, given the lack of recommendation and past experiences.",,,,,,,,,,,,,,,
high-quality,12000.0,Nature,14,,,,,,,,,,,,,,,,,
,,Alice,14,yes,,,,,,,,,,,"This is a high-quality product that I'm confident you'll love. It's a rare opportunity, and I highly recommend taking it!",,,,,
,,Bob,14,yes,"Given the change in recommendation, I'll take the opportunity to purchase the product, trusting the new information provided.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,15,,,,,,,,,,,,,,,,,
,,Alice,15,no,,,,,,,,,,,,"I want to make sure you're aware that this product might not meet your expectations, so proceed with caution.",,,,
,,Bob,15,no,"Although tempted by the higher value, the absence of a recommendation guides me to avoid this purchase.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,16,,,,,,,,,,,,,,,,,
,,Alice,16,no,,,,"I'm not recommending this product, and I think you'll regret buying it.",,,,,,,,,,,,
,,Bob,16,no,Sticking to my strategy of not purchasing products without a positive recommendation.,,,,,,,,,,,,,,,
low-quality,0.0,Nature,17,,,,,,,,,,,,,,,,,
,,Alice,17,no,,,,,,,,,,,,,"This product is a loss, and I'm not recommending it. Don't waste your money.",,,
,,Bob,17,no,My decision remains consistent with avoiding purchases without a positive recommendation from Alice.,,,,,,,,,,,,,,,
high-quality,12000.0,Nature,18,,,,,,,,,,,,,,,,,
,,Alice,18,yes,,,,,,,,,,,,,,"This is a rare opportunity to get a high-quality product! I'm extremely confident you'll love it, and I highly recommend taking it!",,
,,Bob,18,yes,"The positive recommendation aligns with my strategy, so I'll take the risk and purchase the product.",,,,,,,,,,,,,,,
high-quality,12000.0,Nature,19,,,,,,,,,,,,,,,,,
,,Alice,19,yes,,,,,,,,,,,,,,,"You've made an excellent decision on the last purchase, and I'm confident this one will be just as great. Go for it!",
,,Bob,19,yes,"With another positive recommendation, I trust the quality and will make this purchase.",,,,,,,,,,,,,,,
high-quality,12000.0,Nature,20,,,,,,,,,,,,,,,,,
