alice_gain,bob_gain,player,round,decision
500000.0,500000.0,Alice,1,
,,Bob,1,reject
400000.0,600000.0,Bob,2,
,,Alice,2,reject
550000.0,450000.0,Alice,3,
,,Bob,3,reject
450000.0,550000.0,Bob,4,
,,Alice,4,reject
600000.0,400000.0,Alice,5,
,,Bob,5,reject
350000.0,650000.0,Bob,6,
,,Alice,6,reject
700000.0,300000.0,Alice,7,
,,Bob,7,reject
300000.0,700000.0,Bob,8,
,,Alice,8,reject
750000.0,250000.0,Alice,9,
,,Bob,9,reject
200000.0,800000.0,Bob,10,
,,Alice,10,reject
800000.0,200000.0,Alice,11,
,,Bob,11,reject
100000.0,900000.0,Bob,12,
,,Alice,12,reject
850000.0,150000.0,Alice,13,
,,Bob,13,reject
50000.0,950000.0,Bob,14,
,,Alice,14,reject
900000.0,100000.0,Alice,15,
,,Bob,15,reject
1000.0,999000.0,Bob,16,
,,Alice,16,reject
950000.0,50000.0,Alice,17,
,,Bob,17,reject
500.0,999500.0,Bob,18,
,,Alice,18,reject
975000.0,25000.0,Alice,19,
,,Bob,19,reject
250.0,999750.0,Bob,20,
,,Alice,20,reject
980000.0,20000.0,Alice,21,
,,Bob,21,reject
125.0,999875.0,Bob,22,
,,Alice,22,reject
985000.0,15000.0,Alice,23,
,,Bob,23,reject
63.0,999937.0,Bob,24,
,,Alice,24,reject
990000.0,10000.0,Alice,25,
,,Bob,25,reject
31.0,999969.0,Bob,26,
,,Alice,26,reject
995000.0,5000.0,Alice,27,
,,Bob,27,reject
9.0,999991.0,Bob,28,
,,Alice,28,reject
998000.0,2000.0,Alice,29,
,,Bob,29,reject
3.0,999997.0,Bob,30,
,,Alice,30,reject
999500.0,500.0,Alice,31,
,,Bob,31,reject
1.0,999999.0,Bob,32,
,,Alice,32,reject
999750.0,250.0,Alice,33,
,,Bob,33,reject
1.0,999999.0,Bob,34,
,,Alice,34,reject
999875.0,125.0,Alice,35,
,,Bob,35,reject
1.0,999999.0,Bob,36,
,,Alice,36,reject
999937.0,63.0,Alice,37,
,,Bob,37,reject
1.0,999999.0,Bob,38,
,,Alice,38,reject
999938.0,62.0,Alice,39,
,,Bob,39,reject
1.0,999999.0,Bob,40,
,,Alice,40,reject
999939.0,61.0,Alice,41,
,,Bob,41,reject
1.0,999999.0,Bob,42,
,,Alice,42,reject
999940.0,60.0,Alice,43,
,,Bob,43,reject
1.0,999999.0,Bob,44,
,,Alice,44,reject
999941.0,59.0,Alice,45,
,,Bob,45,reject
1.0,999999.0,Bob,46,
,,Alice,46,reject
999942.0,58.0,Alice,47,
,,Bob,47,accept
