message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this amazing product. I think you'll really love it!",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, $150 is a bit steep for me. I'm interested in the product, but I'd be willing to pay $105.  Let me know what you think.",105.0,Bob,2,,
,,Alice,2,RejectOffer,125.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you halfway, but I need to make a profit. I can do $125, but that's as low as I can go.",125.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down to $125, but I'm still not quite there. How about $115? That's a fair compromise, and I'm confident it's a deal we can both agree on.",115.0,Bob,4,,
,,Alice,4,RejectOffer,122.0
"I'm starting to think we're close, Bob. I can do $122, but I'm not willing to go any lower than that. It's a fair price, considering the product's value to you.",122.0,Alice,5,,
,,Bob,5,BuyFromJhon,
