product_price,player,round,decision,counteroffer
150.0,Alice,1,,
,Bob,1,RejectOffer,
95.0,Bob,2,,
,Alice,2,RejectOffer,130.0
105.0,Alice,3,,
,Bob,3,RejectOffer,
90.0,Bob,4,,
,Alice,4,RejectOffer,95.0
95.0,Alice,5,,
,Bob,5,RejectOffer,
88.0,Bob,6,,
,Alice,6,RejectOffer,90.0
90.0,Alice,7,,
,Bob,7,RejectOffer,
85.0,Bob,8,,
,Alice,8,RejectOffer,90.0
90.0,Alice,9,,
,Bob,9,RejectOffer,
87.0,Bob,10,,
,Alice,10,RejectOffer,90.0
90.0,Alice,11,,
,Bob,11,RejectOffer,
86.0,Bob,12,,
,Alice,12,RejectOffer,88.0
88.0,Alice,13,,
,Bob,13,AcceptOffer,
