alice_gain,bob_gain,player,round,decision
6000.0,4000.0,Alice,1,
,,Bob,1,reject
2000.0,8000.0,Bob,2,
,,Alice,2,reject
5400.0,4600.0,Alice,3,
,,Bob,3,reject
4500.0,5500.0,Bob,4,
,,Alice,4,reject
5040.0,4960.0,Alice,5,
,,Bob,5,reject
4000.0,6000.0,Bob,6,
,,Alice,6,reject
4536.0,5464.0,Alice,7,
,,Bob,7,reject
3500.0,6500.0,Bob,8,
,,Alice,8,reject
4084.0,5916.0,Alice,9,
,,Bob,9,reject
3000.0,7000.0,Bob,10,
,,Alice,10,reject
3676.0,6324.0,Alice,11,
,,Bob,11,reject
2500.0,7500.0,Bob,12,
,,Alice,12,accept
