message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to offer you this great product! I think you'll really love it. Would you like to buy it from me for $120?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer Alice, but I'm looking to spend a little less.  How about $105? ",105.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you're looking to spend a bit less, but I need to make a profit. How about we meet in the middle at $125?",125.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you meeting me halfway, Alice, but I'm still not quite there.  Let's try $115.  It's a fair price for both of us.",115.0,Bob,4,,
,,Alice,4,RejectOffer,127.5
"I'm glad you think $115 is a fair price, Bob. I'm willing to compromise a bit more, but I need to make a profit. How about we meet at $127.50?",127.5,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I really appreciate your willingness to negotiate, but $127.50 is still a bit higher than I'm comfortable with. How about we split the difference and settle on $120?",120.0,Bob,6,,
,,Alice,6,RejectOffer,129.0
"I appreciate your persistence, Bob! I'm willing to meet you halfway on the difference, but I still need to make a profit. How about we meet at $129?",129.0,Alice,7,,
,,Bob,7,BuyFromJhon,
