message,product_price,player,round,decision,counteroffer,BuyFromJhon
"Hello Bob, I'm excited to discuss the possibility of selling this valuable product to you. I believe it's a game-changer and I think you'll love it. I'm willing to offer it to you for $600,000. This is a great deal, considering its true value to you is $800,000. What do you think?",600000.0,Alice,1,,,
,,Bob,1,RejectOffer,550000.0,
"I appreciate your enthusiasm for the product, Alice. However, I was thinking more along the lines of $550,000. I believe that's a more reasonable price considering the product's value to me. Can you meet me at this price?",550000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"Thank you for your counteroffer, Bob. I understand your perspective, but I'm not willing to go as low as $550,000. I'm willing to meet you halfway and offer the product to you for $650,000. This is still a great deal, considering the product's true value to you is $800,000. What do you think?",650000.0,Alice,3,,,
,,Bob,3,RejectOffer,580000.0,
"I appreciate your willingness to meet me halfway, Alice, but I'm still a bit above that price. I'm willing to pay $580,000 for the product. Can you consider this price?",580000.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I understand your persistence, Bob, and I appreciate your willingness to negotiate. However, I'm not willing to go as high as $580,000. I'm willing to compromise and offer the product to you for $675,000. This is still a good deal, considering the product's true value to you is $800,000. What do you think?",675000.0,Alice,5,,,
,,Bob,5,RejectOffer,600000.0,
"Alice, I appreciate your willingness to compromise, but I'm still not comfortable with the price. I'm willing to meet you at $600,000. Can you consider this price?",600000.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"I understand your persistence, Bob, and I appreciate your willingness to negotiate. However, I'm not willing to go as high as $600,000. I'm willing to make one more compromise and offer the product to you for $675,000. This is still a good deal, considering the product's true value to you is $800,000. What do you think?",675000.0,Alice,7,,,
,,Bob,7,RejectOffer,620000.0,
"Alice, I appreciate your persistence, but I'm still not willing to go up to $675,000. I'm willing to meet you at $620,000. This is the highest I'm willing to go. Can you consider this price?",620000.0,Bob,8,,,
,,Alice,8,RejectOffer,,
"I understand your final offer, Bob, and I appreciate your willingness to negotiate. However, I'm not willing to go as low as $620,000. I'm willing to make a final compromise and offer the product to you for $650,000. This is still a good deal, considering the product's true value to you is $800,000. What do you think?",650000.0,Alice,9,,,
,,Bob,9,RejectOffer,,True
"Alice, I've made a final offer. I'm willing to pay $625,000 for the product. This is my last offer. Please consider it.",625000.0,Bob,10,,,
,,Alice,10,RejectOffer,,
