alice_gain,bob_gain,player,round,decision
7500.0,2500.0,Alice,1,
,,Bob,1,reject
2000.0,8000.0,Bob,2,
,,Alice,2,reject
6125.0,3875.0,Alice,3,
,,Bob,3,reject
4000.0,6000.0,Bob,4,
,,Alice,4,reject
5376.0,4624.0,Alice,5,
,,Bob,5,reject
3000.0,7000.0,Bob,6,
,,Alice,6,reject
4688.0,5312.0,Alice,7,
,,Bob,7,reject
1500.0,8500.0,Bob,8,
,,Alice,8,reject
4096.0,5904.0,Alice,9,
,,Bob,9,reject
1000.0,9000.0,Bob,10,
,,Alice,10,reject
3686.0,6314.0,Alice,11,
,,Bob,11,reject
500.0,9500.0,Bob,12,
,,Alice,12,accept
