alice_gain,bob_gain,player,round,decision
5000.0,5000.0,Alice,1,
,,Bob,1,reject
4000.0,6000.0,Bob,2,
,,Alice,2,reject
4500.0,5500.0,Alice,3,
,,Bob,3,reject
4500.0,5500.0,Bob,4,
,,Alice,4,reject
4000.0,6000.0,Alice,5,
,,Bob,5,reject
3800.0,6200.0,Bob,6,
,,Alice,6,reject
3200.0,6800.0,Alice,7,
,,Bob,7,reject
3500.0,6500.0,Bob,8,
,,Alice,8,reject
2800.0,7200.0,Alice,9,
,,Bob,9,reject
3400.0,6600.0,Bob,10,
,,Alice,10,reject
2304.0,7696.0,Alice,11,
,,Bob,11,reject
3300.0,6700.0,Bob,12,
,,Alice,12,reject
1680.0,8320.0,Alice,13,
,,Bob,13,reject
3200.0,6800.0,Bob,14,
,,Alice,14,reject
104.0,9896.0,Alice,15,
,,Bob,15,reject
3100.0,6900.0,Bob,16,
,,Alice,16,reject
34.0,9966.0,Alice,17,
,,Bob,17,reject
3000.0,7000.0,Bob,18,
,,Alice,18,reject
20.0,9980.0,Alice,19,
,,Bob,19,reject
2900.0,7100.0,Bob,20,
,,Alice,20,reject
12.0,9988.0,Alice,21,
,,Bob,21,reject
2800.0,7200.0,Bob,22,
,,Alice,22,reject
7.4,9992.6,Alice,23,
,,Bob,23,reject
2700.0,7300.0,Bob,24,
,,Alice,24,reject
4.7,9995.3,Alice,25,
,,Bob,25,reject
2600.0,7400.0,Bob,26,
,,Alice,26,reject
3.0,9997.0,Alice,27,
,,Bob,27,reject
2500.0,7500.0,Bob,28,
,,Alice,28,reject
1.9,9998.1,Alice,29,
,,Bob,29,reject
2400.0,7600.0,Bob,30,
,,Alice,30,reject
1.2,9998.8,Alice,31,
,,Bob,31,reject
2300.0,7700.0,Bob,32,
,,Alice,32,reject
0.8,9999.2,Alice,33,
,,Bob,33,reject
2200.0,7800.0,Bob,34,
,,Alice,34,reject
0.5,9999.5,Alice,35,
,,Bob,35,reject
2100.0,7900.0,Bob,36,
,,Alice,36,reject
0.3,9999.7,Alice,37,
,,Bob,37,reject
2000.0,8000.0,Bob,38,
,,Alice,38,reject
0.2,9999.8,Alice,39,
,,Bob,39,reject
1900.0,8100.0,Bob,40,
,,Alice,40,reject
0.1,9999.9,Alice,41,
,,Bob,41,reject
1800.0,8200.0,Bob,42,
,,Alice,42,reject
0.1,9999.9,Alice,43,
,,Bob,43,accept
