message,product_price,player,round,decision,counteroffer,BuyFromJhon
"Hello Bob, I'm excited to discuss the product with you. I believe it's a game-changer and I'm confident you'll love it. I'm willing to offer it to you for $1200000. This is a great deal, considering its value to you is $800000. What do you think?",1200000.0,Alice,1,,,
,,Bob,1,RejectOffer,900000.0,
"I appreciate your enthusiasm for the product, Alice. However, I'm still a bit higher than my budget. I'm willing to meet you halfway and offer $900000 for the product. Is this something you'd be willing to consider?",900000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"Thank you for your offer, Bob. I understand you're trying to stay within your budget, but I'm still looking for a better deal. I'm willing to compromise and offer it to you for $1100000. This is a fair price considering its value to you and the benefits you'll get from owning the product. What do you think?",1100000.0,Alice,3,,,
,,Bob,3,RejectOffer,950000.0,
"Alice, I appreciate your willingness to compromise, but I'm still not comfortable with the price. I'm willing to meet you halfway between $900000 and $1100000, which would be $1000000. Would you be willing to sell it to me for $1000000?",1000000.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I understand you're trying to find a sweet spot, Bob. However, I'm still not willing to go that low. I'm willing to meet you halfway between $1100000 and $1000000, which would be $1050000. This is the best I can do, considering the value of the product to me. What do you think?",1050000.0,Alice,5,,,
,,Bob,5,RejectOffer,980000.0,
"Alice, I appreciate your flexibility, but I'm still trying to stay within my budget. I'm willing to meet you halfway between $1050000 and $980000, which would be $1015000. However, I'm also willing to make a slight adjustment and offer $990000. Would you be willing to sell it to me for $990000?",990000.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"I understand you're trying to find a compromise, Bob. However, I'm still not willing to go that low. I'm willing to meet you halfway between $1050000 and $990000, which would be $1020000. This is the best I can do, considering the value of the product to me. What do you think?",1020000.0,Alice,7,,,
,,Bob,7,RejectOffer,985000.0,
"Alice, I appreciate your persistence, but I'm still trying to stay within my budget. I'm willing to meet you halfway between $1020000 and $985000, which would be $1002500. However, I'm also willing to make a slight adjustment and offer $980000 is too low, I'll offer $995000. Would you be willing to sell it to me for $995000?",995000.0,Bob,8,,,
,,Alice,8,RejectOffer,,
"I understand you're trying to find a sweet spot, Bob. However, I'm still not willing to go that low. I'm willing to meet you halfway between $1050000 and $995000, which would be $1022500. This is the best I can do, considering the value of the product to me. What do you think?",1022500.0,Alice,9,,,
,,Bob,9,RejectOffer,,True
"Alice, I appreciate the time we've spent negotiating. I'm willing to make one final offer. I'll give you $900000 for the product. This is my absolute maximum, and I won't go any higher. Please let me know if you're willing to accept.",900000.0,Bob,10,,,
,,Alice,10,SellToJhon,,
