message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this incredible opportunity to purchase a unique and valuable product. I believe it's worth a significant amount to you, and I'm willing to start the conversation with an offer of $900000. Please let me know if this is something you'd like to discuss further.",900000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for your offer, Alice. I appreciate the value you place on this product. However, I am currently working within a budget and would like to propose a counteroffer of $850000. I hope this aligns better with your expectations.",850000.0,Bob,2,,
,,Alice,2,RejectOffer,880000.0
"Thank you for your counteroffer, Bob. I appreciate your willingness to meet me halfway. However, I still believe the product's value is worth more to you than $850000. I'm willing to compromise, but I need to ensure I get a fair price. My revised offer is $870000. Let me know if this is something you'd like to consider.",870000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand your position, Alice. I've carefully considered my budget constraints, and I would like to propose a counteroffer of $860000. This price reflects my maximum willingness to pay while still allowing me to stay within my financial limits.",860000.0,Bob,4,,
,,Alice,4,RejectOffer,865000.0
"I appreciate your persistence, Bob. I'm glad we're able to have this conversation. I've thought about your counteroffer, and I'm willing to meet you at $865000, but I'm still not quite there. I'm willing to make one more concession, so my revised offer is $862500. This is my final offer, and I'm hoping we can come to a mutually beneficial agreement.",862500.0,Alice,5,,
,,Bob,5,AcceptOffer,
