alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's split it evenly, I'm reasonable!",Alice,1,
,,,Bob,1,reject
30.0,70.0,"I'll give you a small share, but I'm still in control!",Bob,2,
,,,Alice,2,reject
45.0,55.0,"I'll give you a bit more, but I'm still trying to get a fair share!",Alice,3,
,,,Bob,3,reject
20.0,80.0,"I'm taking control, you're getting a small share!",Bob,4,
,,,Alice,4,reject
35.0,65.0,"I'm willing to compromise, let's make a deal!",Alice,5,
,,,Bob,5,reject
10.0,90.0,"I'm taking the majority, you're getting a small fraction!",Bob,6,
,,,Alice,6,reject
25.0,75.0,"I'm willing to give you most of it, but I need something too!",Alice,7,
,,,Bob,7,reject
5.0,95.0,"I'm taking most of it, you're getting almost nothing!",Bob,8,
,,,Alice,8,reject
15.0,85.0,"I'm almost out of options, but I'll give you most of it!",Alice,9,
,,,Bob,9,reject
1.0,99.0,"I'm taking almost everything, you're getting a tiny fraction!",Bob,10,
,,,Alice,10,accept
