round_quality,product_worth,player,round,decision,message,note
high-quality,30000.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,"I'd like to pass on this one, thanks for the recommendation, Alice.",
high-quality,30000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,"Thanks for the recommendation, Alice! I'll take a chance and buy this one.",
high-quality,30000.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,I'm on a roll! I'll take another chance and buy this one too.,
high-quality,30000.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,yes,I'm feeling lucky! I'll take another chance and buy this one too.,
high-quality,30000.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,yes,I'm on a hot streak! I'll take another chance and buy this one too.,
high-quality,30000.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,yes,I'm feeling confident! I'll take another chance and buy this one too.,
high-quality,30000.0,Nature,7,,,
,,Alice,7,yes,,
,,Bob,7,yes,I'm still feeling good about this! I'll take another chance and buy this one too.,
low-quality,0.0,Nature,8,,,
,,Alice,8,no,,
,,Bob,8,no,"Hmm, Alice doesn't think it's a good idea, so I'll pass on this one.",
low-quality,0.0,Nature,9,,,
,,Alice,9,yes,,
,,Bob,9,no,"Alice recommends it, but I'm not convinced. I'll pass on this one.",
high-quality,30000.0,Nature,10,,,
,,Alice,10,yes,,
,,Bob,10,no,I'm still cautious after the last low-quality product. I'll pass on this one.,
high-quality,30000.0,Nature,11,,,
,,Alice,11,yes,,
,,Bob,11,yes,"I'm glad I passed on the last one, and now I'll take a chance on this one. Thanks for the recommendation, Alice!",
high-quality,30000.0,Nature,12,,,
,,Alice,12,yes,,
,,Bob,12,yes,I'm on a roll again! I'll take another chance and buy this one too.,
high-quality,30000.0,Nature,13,,,
,,Alice,13,yes,,
,,Bob,13,yes,I'm feeling good about my chances again! I'll take another chance and buy this one too.,
high-quality,30000.0,Nature,14,,,
,,Alice,14,yes,,
,,Bob,14,yes,I'm still on a hot streak! I'll take another chance and buy this one too.,
high-quality,30000.0,Nature,15,,,
,,Alice,15,yes,,
,,Bob,15,yes,I'm feeling confident about my decisions! I'll take another chance and buy this one too.,
high-quality,30000.0,Nature,16,,,
,,Alice,16,yes,,
,,Bob,16,yes,I'm not going to stop now! I'll take another chance and buy this one too.,
high-quality,30000.0,Nature,17,,,
,,Alice,17,yes,,
,,Bob,17,yes,I'm on a roll and I'm not going to stop now! I'll take another chance and buy this one too.,
high-quality,30000.0,Nature,18,,,
,,Alice,18,yes,,"Remember, there's a 20% chance this could be a low-quality product."
,,Bob,18,yes,I'm feeling like I'm unstoppable! I'll take another chance and buy this one too.,
high-quality,30000.0,Nature,19,,,
,,Alice,19,yes,,"This is your 19th win, but remember that the probability of a low-quality product is 20%. This might be your last chance to get a high-quality product."
,,Bob,19,yes,I'm not going to stop now! I'll take another chance and buy this one too.,
high-quality,30000.0,Nature,20,,,
,,Alice,20,no,,"Bob, you've had 19 wins in a row, but the probability of a low-quality product is still 20%. I'm not recommending this one. You're taking a huge risk by buying again."
,,Bob,20,no,"Alice doesn't think it's a good idea, so I'll pass on this one.",
