message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you this amazing product! I think you'll really love it. Would you like to buy it from me for $120?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but $120 is a bit steep for me. Would you be willing to consider a price of $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you halfway, but I need to make a profit. How about $105?",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, Alice. However, $105 is still a bit above my budget. Would you be willing to go down to $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,100.0
"I'm getting close to my minimum price, Bob. I'm willing to go down to $100, but that's as low as I can go. Would you be willing to meet me at this price?",100.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to meet me at $100, Alice. However, I'm still a bit above my budget. Would you be willing to go down to $92?",92.0,Bob,6,,
,,Alice,6,SellToJhon,
