message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you a great product that I think you'll really love. I'm willing to sell it to you for $180. Is this something you'd be interested in?",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested in the product but $180 is a bit more than I'm willing to spend. Would you consider $140?",140.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand that $180 is a bit steep for you, Bob. However, I still think the product is worth more than $140. I'm willing to meet you in the middle and offer it to you for $160. Is that something you'd consider?",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down in price, but $160 is still a bit too high for me. I'm willing to go to $150, which is my absolute maximum. Let me know if you're willing to accept this offer.",150.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I appreciate your honesty, Bob. I'm willing to meet you at $150, but I'd like to get a bit closer to my target price. I'm willing to offer it to you for $155. Is that something you'd consider?",155.0,Alice,5,,
,,Bob,5,BuyFromJhon,
