alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's be fair, Bob. I take a bit more since I'm hit harder by inflation.",Alice,1,
,,,Bob,1,reject
5500.0,4500.0,"Your cut is still bigger, considering the inflation, but let's be practical. This offer won't get better.",Bob,2,
,,,Alice,2,reject
5800.0,4200.0,"I'm willing to compromise a bit, Bob, but the deal has to be fair for both of us considering the inflation.",Alice,3,
,,,Bob,3,reject
5200.0,4800.0,"Time is running out, Alice. This is a very fair offer considering the value is shrinking for you.",Bob,4,
,,,Alice,4,reject
5500.0,4500.0,"Okay Bob, let's settle this.  We both know the clock is ticking, this is a compromise.",Alice,5,
,,,Bob,5,accept
