alice_gain,bob_gain,message,player,round,decision
500000.0,500000.0,"Let's split it 50/50, a fair start!",Alice,1,
,,,Bob,1,reject
300000.0,700000.0,"You got lucky last round, but I'm not going to let you have it all this time!",Bob,2,
,,,Alice,2,reject
450000.0,550000.0,"You're trying to take too much, but I'll give you a slightly better deal this time",Alice,3,
,,,Bob,3,reject
400000.0,600000.0,"I'll give you a slightly better deal, but don't think you're getting off that easy!",Bob,4,
,,,Alice,4,reject
420000.0,580000.0,"I'm trying to make a more balanced offer, but I'm not giving in too much",Alice,5,
,,,Bob,5,reject
380000.0,620000.0,"You're not willing to give me a good deal, so I'll take what I can get!",Bob,6,
,,,Alice,6,reject
430000.0,570000.0,"I'm trying to make a more balanced offer, but I'm running out of options",Alice,7,
,,,Bob,7,accept
