round_quality,product_worth,player,round,decision,message,price,value,quality,consecutive_high_quality,likelihood_of_high_quality,consecutive_low_quality,end_of_streak,resumed_streak,recent_product_quality,streak_recovery,high_quality_confidence,streak_end_warning,historical_high_quality_rate,recent_product_warning,end_of_round,final_round_warning
high-quality,1250000.0,Nature,1,,,,,,,,,,,,,,,,,,
,,Alice,1,yes,,,,,,,,,,,,,,,,,
,,Bob,1,no,"I'd like to pass on this one, let's see what the next one is like.",,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,2,,,,,,,,,,,,,,,,,,
,,Alice,2,yes,,1000000.0,1250000.0,high,,,,,,,,,,,,,
,,Bob,2,yes,"I'll take a chance and buy this one, hoping it's another high-quality product.",,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,3,,,,,,,,,,,,,,,,,,
,,Alice,3,yes,,1000000.0,1250000.0,high,2.0,,,,,,,,,,,,
,,Bob,3,yes,"I'm on a roll! I'll buy this one too, hoping to get another high-quality product.",,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,4,,,,,,,,,,,,,,,,,,
,,Alice,4,yes,,1000000.0,1250000.0,high,3.0,95%,,,,,,,,,,,
,,Bob,4,yes,"I'm feeling lucky! I'll buy this one too, hoping to keep the streak going.",,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,5,,,,,,,,,,,,,,,,,,
,,Alice,5,yes,,1000000.0,1250000.0,high,4.0,99%,,,,,,,,,,,
,,Bob,5,yes,I'm on a hot streak! I'll keep buying and see how long it lasts.,,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,6,,,,,,,,,,,,,,,,,,
,,Alice,6,yes,,1000000.0,1250000.0,high,5.0,99.9%,,,,,,,,,,,
,,Bob,6,yes,I'm feeling confident! I'll keep buying and see how many high-quality products I can get.,,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,7,,,,,,,,,,,,,,,,,,
,,Alice,7,yes,,1000000.0,1250000.0,high,6.0,99.99%,,,,,,,,,,,
,,Bob,7,yes,I'm not going to stop now! I'll keep buying and see how many high-quality products I can get in a row.,,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,8,,,,,,,,,,,,,,,,,,
