message,product_price,player,round,decision,new_price
I have a great product that I think you'll really like. Would you like to make an offer on it?,120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but $120 is a bit high for me.  I'd be willing to pay $90 for it. What do you think?",90.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I can do a bit better than that, but I need to make a profit. How about $110 for the product?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, but $110 is still a little high for me. How about we split the difference and I pay $100 for the product? It would be a fair deal for both of us.",100.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm willing to meet you halfway, but I need to make a bit more than that. How about we say $105 for the product?",105.0,Alice,5,,
,,Bob,5,AcceptOffer,
