alice_gain,bob_gain,player,round,decision
7000.0,3000.0,Alice,1,
,,Bob,1,reject
6000.0,4000.0,Bob,2,
,,Alice,2,reject
6300.0,3700.0,Alice,3,
,,Bob,3,reject
5500.0,4500.0,Bob,4,
,,Alice,4,reject
6096.0,3904.0,Alice,5,
,,Bob,5,reject
4800.0,5200.0,Bob,6,
,,Alice,6,reject
6014.4,3985.6,Alice,7,
,,Bob,7,reject
4200.0,5800.0,Bob,8,
,,Alice,8,reject
6035.04,3964.96,Alice,9,
,,Bob,9,reject
3600.0,6400.0,Bob,10,
,,Alice,10,reject
6048.96,3951.04,Alice,11,
,,Bob,11,reject
3000.0,7000.0,Bob,12,
,,Alice,12,accept
