message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you a great deal on this fantastic product. I think you'll love it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm really interested in the product, but $120 is a bit more than I'm willing to spend right now. How about $70?",70.0,Bob,2,,
,,Alice,2,RejectOffer,100.0
"I understand you're looking to save some money, Bob. I can do better than $70, but I need to make a profit. How about we meet in the middle at $95?",95.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, $95 is still a bit too high for me.  I'm happy to pay $85, which is a fair compromise and a good deal for both of us. What do you think?",85.0,Bob,4,,
,,Alice,4,RejectOffer,92.0
"I appreciate your persistence, Bob! I can see you're really interested in the product. I'm willing to meet you halfway between $85 and $92, so how about we try $88.50?",88.5,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I'm really close to buying from another seller for $80. To make this work, I can offer you $82.  This is the absolute highest I can go.  Let me know if you're willing to make a deal.",82.0,Bob,6,,
,,Alice,6,RejectOffer,90.0
"I can see you're really trying to get the best deal, Bob! I'm willing to compromise, but I need to make a decent profit. I can do $89, but that's as low as I can go.",89.0,Alice,7,,
,,Bob,7,BuyFromJhon,
