message,product_price,player,round,decision,new_offer
"Hello Bob, I have a great product that I think you'll love. I'm willing to let it go for $110.",110.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate the offer, Alice, but $110 is a bit steep for me.  How about $105?",105.0,Bob,2,,
,,Alice,2,RejectOffer,115.0
"I understand that $105 is a bit low for me, but I'm willing to meet you halfway. How about $112.50?",112.5,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I'm still interested, but $112.50 is still a bit high for me.  Let's try $108.50.  That's a fair compromise, and we can close the deal.",108.5,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm willing to meet you at $109, but I think I can do a bit better than that. How about $109.25?",109.25,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I'm happy to see we're getting closer. Let's split the difference and go with $109.12.  It's a fair price for both of us, and we can finally close this deal.",109.12,Bob,6,,
,,Alice,6,RejectOffer,110.0
"I appreciate the persistence, Bob! I'm willing to meet you at $109.25, but I think I can do a bit better than that. How about $109.50?",109.5,Alice,7,,
,,Bob,7,BuyFromJhon,
