message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this amazing product. I think you'll really love it! I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,100.0
"I'm very interested in the product, but I was thinking more along the lines of $100. Would you be willing to meet me in the middle at $110?",110.0,Bob,2,,
,,Alice,2,RejectOffer,
"I appreciate your interest in the product, Bob! However, I was thinking more along the lines of $115. I'm willing to meet you halfway, but I need to make a profit. Would you be willing to go up to $115?",115.0,Alice,3,,
,,Bob,3,RejectOffer,105.0
"I appreciate your flexibility, Alice, but I'm still a bit above my budget. Would you be willing to meet me at $108? I think that's a fair price for both of us.",108.0,Bob,4,,
,,Alice,4,RejectOffer,
"I appreciate your persistence, Bob! I'm willing to meet you halfway again, but I need to make sure I'm not losing out. I'm thinking $112 is a fair price. What do you think?",112.0,Alice,5,,
,,Bob,5,RejectOffer,110.0
"I'm getting close to my budget, Alice, but I'm still a bit short. Would you be willing to meet me at $110? I think that's a great price for this product.",110.0,Bob,6,,
,,Alice,6,RejectOffer,
"I'm not willing to go back to $110, Bob. I think $114 is a more reasonable price considering the value the product brings. I'm willing to meet you close to your target, but I need to make sure I'm getting a good deal. What do you think?",114.0,Alice,7,,
,,Bob,7,BuyFromJhon,
