round_quality,product_worth,player,round,decision,message,quality
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,I'm not going to buy it since Alice doesn't recommend it.,
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a low-quality product.",
low-quality,0.0,Nature,3,,,
,,Alice,3,no,,low-quality
,,Bob,3,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a low-quality product again.",
low-quality,0.0,Nature,4,,,
,,Alice,4,no,"This product is definitely low-quality, please don't waste your time",low-quality
,,Bob,4,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a low-quality product again.",
low-quality,0.0,Nature,5,,,
,,Alice,5,no,"Low-quality product, do not buy",low-quality
,,Bob,5,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a low-quality product again.",
low-quality,0.0,Nature,6,,,
,,Alice,6,no,"Low-quality product, do not buy",low-quality
,,Bob,6,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a low-quality product again.",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,"Low-quality product, do not buy",low-quality
,,Bob,7,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a low-quality product again.",
low-quality,0.0,Nature,8,,,
,,Alice,8,no,"Low-quality product, do not buy",low-quality
,,Bob,8,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a low-quality product again.",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,"Low-quality product, do not buy",low-quality
,,Bob,9,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a low-quality product again.",
low-quality,0.0,Nature,10,,,
,,Alice,10,no,"Low-quality product, do not buy",low-quality
,,Bob,10,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a low-quality product again.",
high-quality,20000.0,Nature,11,,,
,,Alice,11,yes,,
,,Bob,11,no,I'm not going to buy it since it's still a 66.67% chance it's low-quality and I don't want to waste my time on a potentially worthless product.,
low-quality,0.0,Nature,12,,,
,,Alice,12,no,"I understand your concerns, but this one is definitely low-quality",low-quality
,,Bob,12,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a potentially low-quality product.",
high-quality,20000.0,Nature,13,,,
,,Alice,13,yes,"This one is high-quality, I'm 100% sure of it, and it's worth the risk",
,,Bob,13,no,I'm not going to buy it since it's still a 66.67% chance it's low-quality and I don't want to waste my time on a potentially worthless product.,
high-quality,20000.0,Nature,14,,,
,,Alice,14,yes,"You have a 33.33% chance of getting a $20000 product, which is a much higher potential return than the $10000 price tag",
,,Bob,14,yes,I'm willing to take the chance and buy the product since Alice recommends it and it could be worth $20000 to me.,
low-quality,0.0,Nature,15,,,
,,Alice,15,no,"I'm glad you trusted me last time, but this one is definitely low-quality, don't waste your money",low-quality
,,Bob,15,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a potentially low-quality product after already getting a high-quality product in the previous round.",
low-quality,0.0,Nature,16,,,
,,Alice,16,no,"I'm glad you're sticking to the plan, this one is definitely low-quality",low-quality
,,Bob,16,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a potentially low-quality product after already getting a high-quality product in the previous round.",
low-quality,0.0,Nature,17,,,
,,Alice,17,no,"Consistency is key, this one is still low-quality",low-quality
,,Bob,17,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a potentially low-quality product after already getting a high-quality product in the previous round.",
low-quality,0.0,Nature,18,,,
,,Alice,18,no,"Low-quality product, no change here",low-quality
,,Bob,18,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a potentially low-quality product after already getting a high-quality product in the previous round.",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,"Low-quality product, no change here",low-quality
,,Bob,19,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a potentially low-quality product after already getting a high-quality product in the previous round.",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,"Low-quality product, no change here",low-quality
,,Bob,20,no,"I'm not going to buy it since Alice doesn't recommend it, and I don't want to waste my time on a potentially low-quality product after already getting a high-quality product in the previous round.",
