message,product_price,player,round,decision,new_offer
"Hello Bob, I have a great product that I think you'll really like. I'm willing to sell it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $110. Would you be willing to sell it to me for that price?",110.0,Bob,2,,
,,Alice,2,RejectOffer,135.0
"I understand you're looking for a good deal, but I was thinking more along the lines of $135. I'm willing to meet you halfway, but I need to make a profit.",135.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, but I was thinking more along the lines of $125. Would you be willing to sell it to me for that price?",125.0,Bob,4,,
,,Alice,4,RejectOffer,130.0
"I'm still willing to work with you, Bob. I can do $130, but that's as low as I can go. It's a fair price, considering the product's value to you is $120.",130.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your flexibility, but I'm still a bit hesitant to pay $130. Would you be willing to meet me at $127.50?",127.5,Bob,6,,
,,Alice,6,RejectOffer,128.0
"I'm getting close to my minimum, Bob. I can do $128, but that's as low as I can go. It's a good price for both of us, considering the product's value to you is $120.",128.0,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your willingness to negotiate, but I'm really looking to get the best deal I can. I'm willing to pay $120 for the product. Would you be willing to accept that price?",120.0,Bob,8,,
,,Alice,8,SellToJhon,
