message,product_price,player,round,decision,new_price
I'm excited to offer you this great product! I think you'll really love it.,110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice!  I'm interested in the product, but $110 is a bit higher than I'm comfortable with. How about $105?",105.0,Bob,2,,
,,Alice,2,RejectOffer,115.0
"I can see you're interested in the product, Bob! I'm willing to meet you in the middle, but I need to make a profit. How about we meet at $112.50?",112.5,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to compromise, but $112.50 is still a little out of my price range. I'm willing to go up to $107.50.  Let's see if we can find a middle ground there.",107.5,Bob,4,,
,,Alice,4,RejectOffer,110.0
"I'm getting close to my minimum price, Bob. I'm willing to give you a slight discount, but I need to make sure I'm not losing money. How about we meet at $108?",108.0,Alice,5,,
,,Bob,5,AcceptOffer,
