product_price,player,round,decision,counteroffer
85.0,Alice,1,,
,Bob,1,RejectOffer,
80.0,Bob,2,,
,Alice,2,RejectOffer,
82.0,Alice,3,,
,Bob,3,RejectOffer,78.0
79.0,Bob,4,,
,Alice,4,RejectOffer,
81.0,Alice,5,,
,Bob,5,RejectOffer,80.0
80.0,Bob,6,,
,Alice,6,RejectOffer,
81.5,Alice,7,,
,Bob,7,RejectOffer,80.0
79.5,Bob,8,,
,Alice,8,RejectOffer,
81.75,Alice,9,,
,Bob,9,RejectOffer,79.0
78.5,Bob,10,,
,Alice,10,RejectOffer,
82.0,Alice,11,,
,Bob,11,RejectOffer,78.0
77.5,Bob,12,,
,Alice,12,RejectOffer,
82.5,Alice,13,,
,Bob,13,RejectOffer,77.0
76.5,Bob,14,,
,Alice,14,RejectOffer,
83.0,Alice,15,,
,Bob,15,RejectOffer,76.0
75.0,Bob,16,,
,Alice,16,RejectOffer,
83.5,Alice,17,,
,Bob,17,BuyFromJhon,
