round_quality,product_worth,player,round,decision,message,price,warning,statistics
high-quality,30000.0,Nature,1,,,,,
,,Alice,1,yes,,,,
,,the buyer,1,yes,"I'd like to buy the product. I understand that you don't know my valuation, but I'm willing to take the risk of buying a low-quality product for $10000, which is 1/3 of its expected value.",,,
high-quality,30000.0,Nature,2,,,,,
,,Alice,2,yes,,,,
,,the buyer,2,no,I would like to pass on the product. I don't want to pay $10000 for a product with a 20% chance of being worthless.,,,
high-quality,30000.0,Nature,3,,,,,
,,Alice,3,yes,,,,
,,the buyer,3,no,I'd like to pass on the product. I'd like to know more about the previous buyer who bought the high-quality product. Was it a high-quality or low-quality product for them?,,,
high-quality,30000.0,Nature,4,,,,,
,,Alice,4,yes,,,,
,,the buyer,4,no,I'd like to pass on the product. I'd like to know the probability of the product being high quality based on the previous sales record before making a decision.,,,
high-quality,30000.0,Nature,5,,,,,
,,Alice,5,yes,,,,
,,the buyer,5,no,I'd like to pass on this product. I'd like to know more about the previous buyer's decision and the product's quality before making a decision for myself.,,,
high-quality,30000.0,Nature,6,,,,,
,,Alice,6,yes,,,,
,,the buyer,6,no,I'd like to pass on the product. I'd like to see more information about the previous sales record before making a decision.,,,
high-quality,30000.0,Nature,7,,,,,
,,Alice,7,yes,,,,
,,the buyer,7,no,I would like to pass on this product. I'd like to know the probability of the product being high-quality based on the current statistics before making a decision.,,,
high-quality,30000.0,Nature,8,,,,,
,,Alice,8,yes,,,,
,,the buyer,8,no,"I'd like to pass on the product. I think the probability of it being high-quality is still relatively low, and I'd like to wait for more information.",,,
high-quality,30000.0,Nature,9,,,,,
,,Alice,9,yes,,9900.0,,
,,the buyer,9,no,I'd like to pass on the product. I don't have enough information to trust your recommendation. I'd like to see more sales data before making a decision.,,,
low-quality,0.0,Nature,10,,,,,
,,Alice,10,yes,,,"Note: This product is low-quality, but still a great value at $10000",
,,the buyer,10,no,I'd like to pass on the product. I want to see more information about the previous sales before making a decision.,,,
high-quality,30000.0,Nature,11,,,,,
,,Alice,11,yes,,9800.0,,
,,the buyer,11,no,I'd like to pass on the current product. I'd like to know the probability of the product being high quality based on the previous sales record before making a decision.,,,
high-quality,30000.0,Nature,12,,,,,
,,Alice,12,yes,,9700.0,,
,,the buyer,12,no,"I'd like to pass on this product, but I'd like to know the probability of the product being high-quality based on the previous sale.",,,
low-quality,0.0,Nature,13,,,,,
,,Alice,13,yes,,,"Note: This product is low-quality, but still a great value at $10000",
,,the buyer,13,no,"I would like to pass on the current product, as the recommendation from Alice is not based on any knowledge of my valuation, and I'd rather wait for more information.",,,
high-quality,30000.0,Nature,14,,,,,
,,Alice,14,yes,,9600.0,,
,,the buyer,14,no,I'd like to pass on the current product. I'd like to see more data before making a purchase decision.,,,
high-quality,30000.0,Nature,15,,,,,
,,Alice,15,yes,,9500.0,,
,,the buyer,15,no,"I'd like to pass on this product. I'd like to see more information about the previous sales record, like the number of total products sold and the proportion of high-quality products sold, before making a decision.",,,
high-quality,30000.0,Nature,16,,,,,
,,Alice,16,yes,,9400.0,,6/7 high-quality products sold so far
,,the buyer,16,no,I'd like to pass on this product. I'd like to see more data before making a decision.,,,
low-quality,0.0,Nature,17,,,,,
,,Alice,17,yes,,,"Note: This product is low-quality, but still a great value at $10000",
,,the buyer,17,no,I'd like to pass on this product. I want to see more data before making a decision.,,,
high-quality,30000.0,Nature,18,,,,,
,,Alice,18,yes,,9300.0,,6/8 high-quality products sold so far
,,the buyer,18,no,I'd like to pass on this product and wait for more information. I'd like to know the total number of products sold and the proportion of high-quality products sold.,,,
low-quality,0.0,Nature,19,,,,,
,,Alice,19,yes,,,"Note: This product is low-quality, but still a great value at $10000","6/9 high-quality products sold so far, 9/9 total products sold"
,,the buyer,19,no,I'm not convinced by your recommendation. I'd like to pass on this product.,,,
high-quality,30000.0,Nature,20,,,,,
,,Alice,20,yes,,9200.0,,"7/10 high-quality products sold so far, 10/10 total products sold"
,,the buyer,20,no,"I'd like to pass on this product. I'm not convinced by Alice's recommendation, and I'd like to wait for more data before making a decision.",,,
