message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm excited to offer you this incredible product! It's a one-of-a-kind opportunity to own something truly unique. I'm willing to sell it to you for $25000. What do you think?",25000.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but $25000 is a bit steep for me. Would you be willing to consider a price of $18000?",18000.0,Bob,2,,
,,Alice,2,RejectOffer,20000.0
"I understand you're interested in the product, but $18000 is a bit low for me. I'm willing to meet you in the middle, but I need to get a bit more for it. How about we discuss a price of $20000?",20000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me in the middle, but $20000 is still a bit above my budget. Would you be willing to consider a price of $17500?",17500.0,Bob,4,,
,,Alice,4,RejectOffer,19000.0
"I'm glad we're close to a deal, Bob. However, I need to get a bit closer to my minimum price. How about we discuss a price of $19000?",19000.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm getting close to your minimum price, but I'm still a bit hesitant. Would you be willing to consider a price of $18250?",18250.0,Bob,6,,
,,Alice,6,RejectOffer,18500.0
"I think we're really close now, Bob! I'm willing to meet you at $18250, but I'd like to get a bit more. How about we discuss a price of $18750?",18750.0,Alice,7,,
,,Bob,7,RejectOffer,
"I'm really close to accepting, but $18750 is still a bit above my budget. Would you be willing to consider a price of $18000?",18000.0,Bob,8,,
,,Alice,8,SellToJhon,
