message,product_price,player,round,decision,newOffer
"Hi Bob, I'm excited to offer you the product for $180. It's a great deal, and I think you'll really love it!",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice!  That's a bit high for my budget though. Would you consider $120?",120.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"Thanks for the offer, Bob! I can do $155, but that's as low as I can go. It's a great product, and I think it's worth every penny!",155.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice. How about we meet in the middle at $137.50?",137.5,Bob,4,,
,,Alice,4,RejectOffer,145.0
"I can see you're a serious buyer, Bob! I can meet you halfway between $137.50 and $155, so how about we try $146?",146.0,Alice,5,,
,,Bob,5,BuyFromJhon,
