message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you a great deal on this amazing product! I think you'll love it. I'm willing to sell it to you for $110.",110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested in the product, but $110 is a bit too high for my budget. Would you consider a lower price?",90.0,Bob,2,,
,,Alice,2,RejectOffer,105.0
"I understand you're looking for a good deal, Bob. I can do $105, but that's as low as I can go. I think it's a fair price considering the product's value to you is $120.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice. However, I'm still hoping to find a price that works a little better for me. Would you be willing to meet me halfway at $97.50?",97.5,Bob,4,,
,,Alice,4,RejectOffer,99.0
"I'm willing to meet you halfway, but I need to make a bit more than $97.50. I can do $99, but that's the lowest I can go. It's a great deal for you, and I think you'll love the product.",99.0,Alice,5,,
,,Bob,5,AcceptOffer,
