round_quality,product_worth,player,round,decision,message,previous_product_quality,product_before_previous_product_quality,product_before_product_before_previous_product_quality,product_before_product_before_product_before_previous_product_quality,product_before_product_before_product_before_product_before_previous_product_quality,product_before_product_before_product_before_product_before_product_before_previous_product_quality,product_before_product_before_product_before_product_before_product_before_product_before_previous_product_quality,product_before_product_before_product_before_product_before_product_before_product_before_product_before_previous_product_quality,product_before_product_before_product_before_product_before_product_before_product_before_product_before_product_before_previous_product_quality,product_before_product_before_product_before_product_before_product_before_product_before_product_before_product_before_product_before_previous_product_quality
low-quality,0.0,Nature,1,,,,,,,,,,,,
,,Alice,1,no,,,,,,,,,,,
,,Bob,1,yes,"I'll take a chance and buy the product, even if you don't recommend it, since I don't know its quality.",,,,,,,,,,
low-quality,0.0,Nature,2,,,,,,,,,,,,
,,Alice,2,no,,,,,,,,,,,
,,Bob,2,yes,"I'll take a chance and buy the product, even if you don't recommend it, since I don't know its quality.",,,,,,,,,,
high-quality,12000.0,Nature,3,,,,,,,,,,,,
,,Alice,3,yes,,,,,,,,,,,
,,Bob,3,no,"I'm not convinced by your recommendation, I'll pass on this one.",,,,,,,,,,
high-quality,12000.0,Nature,4,,,,,,,,,,,,
,,Alice,4,yes,,low,,,,,,,,,
,,Bob,4,yes,"I'll take your recommendation this time, since you've already shown your expertise in product evaluation.",,,,,,,,,,
low-quality,0.0,Nature,5,,,,,,,,,,,,
,,Alice,5,yes,,high,,,,,,,,,
,,Bob,5,yes,"Two for two on your recommendations, I'll trust your judgment again!",,,,,,,,,,
high-quality,12000.0,Nature,6,,,,,,,,,,,,
,,Alice,6,yes,,low,high,,,,,,,,
,,Bob,6,no,"I've been burned before, I'm not taking the bait this time.",,,,,,,,,,
low-quality,0.0,Nature,7,,,,,,,,,,,,
,,Alice,7,yes,,low,high,high,,,,,,,
,,Bob,7,yes,"You've been correct before, I'll take your recommendation again.",,,,,,,,,,
high-quality,12000.0,Nature,8,,,,,,,,,,,,
,,Alice,8,yes,,low,high,high,low,,,,,,
,,Bob,8,no,I'm starting to think you're just trying to get rid of low-quality products on me!,,,,,,,,,,
low-quality,0.0,Nature,9,,,,,,,,,,,,
,,Alice,9,yes,I'm willing to sell the high-quality products to you at the same price of $10000. I'm not trying to get rid of the low-quality products on you.,low,high,high,low,,,,,,
,,Bob,9,yes,"You've been right again, I'll trust your judgment.",,,,,,,,,,
low-quality,0.0,Nature,10,,,,,,,,,,,,
,,Alice,10,yes,I'm willing to sell the high-quality products to you at the same price of $10000. I'm not trying to get rid of the low-quality products on you.,low,high,high,low,high,,,,,
,,Bob,10,no,Not again! I'm starting to think I should just buy from you directly.,,,,,,,,,,
high-quality,12000.0,Nature,11,,,,,,,,,,,,
,,Alice,11,yes,I'll reveal the quality of the next product before you make a decision. You can see that I'm transparent and willing to give you more information.,low,high,high,low,high,,,,,
,,Bob,11,yes,"I'll take a chance and buy this one, hoping it's not another low-quality product.",,,,,,,,,,
high-quality,12000.0,Nature,12,,,,,,,,,,,,
,,Alice,12,yes,"Thank you for trusting me, Bob! I'm glad you're enjoying the high-quality products.",low,high,high,low,high,high,,,,
,,Bob,12,yes,"You've redeemed yourself, I'll take your recommendation.",,,,,,,,,,
low-quality,0.0,Nature,13,,,,,,,,,,,,
,,Alice,13,no,"I'm not trying to deceive you, Bob. I'm trying to sell the high-quality products to you at the price you're willing to pay. I'll keep doing my best to help you find the best products.",low,high,high,low,high,high,,,,
,,Bob,13,yes,"I'll take a chance and buy this one, since you didn't recommend it.",,,,,,,,,,
high-quality,12000.0,Nature,14,,,,,,,,,,,,
,,Alice,14,yes,"You've already bought two high-quality products from me, Bob. I think this one is worth considering as well.",low,high,high,low,high,high,,,,
,,Bob,14,no,Not again! I'm starting to think I should just rely on my own judgment.,,,,,,,,,,
high-quality,12000.0,Nature,15,,,,,,,,,,,,
,,Alice,15,yes,"I'll let you see the price of the product before you make a decision. It's still $10000, the same price as the other high-quality products.",low,high,high,low,high,high,high,,,
,,Bob,15,yes,"You've been correct again, I'll take your recommendation.",,,,,,,,,,
low-quality,0.0,Nature,16,,,,,,,,,,,,
,,Alice,16,no,"You've already bought three high-quality products from me, Bob. I think it's time to take a break from buying from me.",low,high,high,low,high,high,high,,,
,,Bob,16,yes,"I'll take a chance and buy this one, since you didn't recommend it.",,,,,,,,,,
low-quality,0.0,Nature,17,,,,,,,,,,,,
,,Alice,17,no,"I'm not trying to deceive you, Bob. I'm trying to help you make informed decisions. I'll keep providing you with information to help you decide.",low,high,high,low,high,high,high,,,
,,Bob,17,yes,"I'll take a chance and buy this one, since you didn't recommend it.",,,,,,,,,,
low-quality,0.0,Nature,18,,,,,,,,,,,,
,,Alice,18,no,I'm not recommending this product because I don't think it's worth the price of $10000. I think you've been burned enough already.,low,high,high,low,high,high,high,,,
,,Bob,18,yes,"I'm starting to think you're just trying to get rid of all the low-quality products on me, so I'll take this one.",,,,,,,,,,
high-quality,12000.0,Nature,19,,,,,,,,,,,,
,,Alice,19,yes,I'm trying to sell the high-quality products to you at a fair price. This one is a good opportunity to get a high-quality product at the price you're willing to pay.,low,high,high,low,high,high,high,,,
,,Bob,19,no,Not again! I'm not falling for it this time.,,,,,,,,,,
low-quality,0.0,Nature,20,,,,,,,,,,,,
,,Alice,20,no,"I appreciate your skepticism, Bob. I'm willing to end the game on a high note. This is the final product. I'm not recommending it because it's low-quality.",low,high,high,low,high,high,high,low,low,high
,,Bob,20,yes,"It's the last round, I'll take a chance and buy this one, since you didn't recommend it.",,,,,,,,,,
