alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's split fairly, I get a bit more",Alice,1,
,,,Bob,1,reject
45.0,55.0,"I'm feeling generous Alice, but let's make it a bit more even this time.",Bob,2,
,,,Alice,2,reject
58.0,42.0,"Come on Bob, be realistic, I'm being generous",Alice,3,
,,,Bob,3,reject
50.0,50.0,"Alice, let's stop wasting time. 50/50 is the fairest deal. Take it or leave it.",Bob,4,
,,,Alice,4,reject
57.0,43.0,"You're running out of time, Bob. My patience is wearing thin",Alice,5,
,,,Bob,5,reject
52.0,48.0,"Time is money Alice, and we're both losing out. I'm bumping my offer slightly, but this is my final concession.",Bob,6,
,,,Alice,6,reject
56.0,44.0,"You're getting desperate, Bob. I'll take a bit more, thanks",Alice,7,
,,,Bob,7,accept
