message,product_price,player,round,decision,new_offer
"Hi Bob, I have a great product that I think you'll really like. I'm willing to sell it to you for $120. Is that something you'd be interested in?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for offering!  $120 seems a bit steep for me, would you consider $60?",60.0,Bob,2,,
,,Alice,2,RejectOffer,90.0
"Thanks for the counteroffer, Bob! I can do $90, but I was thinking more along the lines of $100. Would you be willing to meet me in the middle at $95?",95.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks for coming down a bit, Alice. I could maybe do $70. How does that sound?",70.0,Bob,4,,
,,Alice,4,RejectOffer,85.0
"I appreciate your persistence, Bob! I can do $85, but I think I can do a bit better than that. How about $92?",92.0,Alice,5,,
,,Bob,5,BuyFromJhon,
