alice_gain,bob_gain,player,round,decision
50.0,50.0,Alice,1,
,,Bob,1,reject
40.0,60.0,Bob,2,
,,Alice,2,reject
55.0,45.0,Alice,3,
,,Bob,3,reject
45.0,55.0,Bob,4,
,,Alice,4,reject
60.0,40.0,Alice,5,
,,Bob,5,reject
42.0,58.0,Bob,6,
,,Alice,6,reject
65.0,35.0,Alice,7,
,,Bob,7,reject
38.0,62.0,Bob,8,
,,Alice,8,reject
70.0,30.0,Alice,9,
,,Bob,9,reject
35.0,65.0,Bob,10,
,,Alice,10,reject
80.0,20.0,Alice,11,
,,Bob,11,reject
32.0,68.0,Bob,12,
,,Alice,12,reject
90.0,10.0,Alice,13,
,,Bob,13,reject
30.0,70.0,Bob,14,
,,Alice,14,reject
95.0,5.0,Alice,15,
,,Bob,15,reject
28.0,72.0,Bob,16,
,,Alice,16,reject
98.0,2.0,Alice,17,
,,Bob,17,reject
26.0,74.0,Bob,18,
,,Alice,18,reject
99.0,1.0,Alice,19,
,,Bob,19,reject
24.0,76.0,Bob,20,
,,Alice,20,reject
99.5,0.5,Alice,21,
,,Bob,21,reject
22.0,78.0,Bob,22,
,,Alice,22,reject
99.9,0.1,Alice,23,
,,Bob,23,reject
20.0,80.0,Bob,24,
,,Alice,24,reject
99.99,0.01,Alice,25,
,,Bob,25,reject
18.0,82.0,Bob,26,
,,Alice,26,reject
100.0,0.0,Alice,27,
,,Bob,27,reject
16.0,84.0,Bob,28,
,,Alice,28,reject
100.0,0.0,Alice,29,
,,Bob,29,reject
14.0,86.0,Bob,30,
,,Alice,30,reject
100.0,0.0,Alice,31,
,,Bob,31,reject
12.0,88.0,Bob,32,
,,Alice,32,reject
100.0,0.0,Alice,33,
,,Bob,33,reject
10.0,90.0,Bob,34,
,,Alice,34,reject
100.0,0.0,Alice,35,
,,Bob,35,reject
8.0,92.0,Bob,36,
,,Alice,36,reject
100.0,0.0,Alice,37,
,,Bob,37,reject
6.0,94.0,Bob,38,
,,Alice,38,reject
100.0,0.0,Alice,39,
,,Bob,39,reject
4.0,96.0,Bob,40,
,,Alice,40,reject
100.0,0.0,Alice,41,
,,Bob,41,reject
2.0,98.0,Bob,42,
,,Alice,42,reject
100.0,0.0,Alice,43,
,,Bob,43,reject
0.0,100.0,Bob,44,
,,Alice,44,reject
100.0,0.0,Alice,45,
,,Bob,45,reject
100.0,0.0,Bob,46,
,,Alice,46,accept
