alice_gain,bob_gain,message,player,round,decision
700000.0,300000.0,"Let's be reasonable, Bob. This offer is fair considering the inflation.",Alice,1,
,,,Bob,1,reject
350000.0,650000.0,"I'm feeling generous, Alice. Take it or leave it.",Bob,2,
,,,Alice,2,reject
600000.0,400000.0,"Okay, Bob, let's try this again. Time is running out and the value is decreasing. This is a serious offer.",Alice,3,
,,,Bob,3,reject
450000.0,550000.0,"Alice, let's stop wasting time. This is a good deal for both of us.",Bob,4,
,,,Alice,4,reject
550000.0,450000.0,"Bob, this is a fair offer. I'm meeting you halfway between our last offers. Let's be smart and end this here.",Alice,5,
,,,Bob,5,accept
