message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you this great product! I think you'll really love it.",100.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested, but $100 is a bit out of my budget. I'm willing to pay $85. Would you be open to that?",85.0,Bob,2,,
,,Alice,2,RejectOffer,95.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you in the middle, but I need to make a profit. How about $92.50?",92.5,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to compromise, but $92.50 is still a bit too high for me. I'm happy to pay $90.  Let's see if we can find a way to make this work.",90.0,Bob,4,,
,,Alice,4,RejectOffer,92.0
"I'm getting close to my minimum price, Bob. I'm willing to make one more concession. How about $92?",92.0,Alice,5,,
,,Bob,5,AcceptOffer,
