message,product_price,player,round,decision,new_offer
"Hi Bob, I have a great product that I think you'll really like. I'm willing to sell it to you for $200.",200.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer, but that's a bit too high for me. Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,180.0
"I understand you're looking for a better deal, Bob. I can do $180, but that's as low as I'm willing to go.",180.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice. How about we meet in the middle at $140?",140.0,Bob,4,,
,,Alice,4,RejectOffer,160.0
"I'm not quite there yet, Bob. I can do $160, but I'm getting closer to my minimum",160.0,Alice,5,,
,,Bob,5,RejectOffer,
"This is getting close, Alice.  Would you be willing to do $145?",145.0,Bob,6,,
,,Alice,6,RejectOffer,155.0
"I'm almost there, Bob. I can do $155, but I'm not going any lower than that",155.0,Alice,7,,
,,Bob,7,BuyFromJhon,
