alice_gain,bob_gain,message,player,round,decision
500000.0,500000.0,"Let's split it 50/50, a fair start!",Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"I'm taking a chance on inflation. I think I can do better, but I'm willing to offer you a fair share.",Bob,2,
,,,Alice,2,reject
550000.0,450000.0,"I'm willing to give you a slightly smaller share, but I'm still confident I can do better than this!",Alice,3,
,,,Bob,3,reject
450000.0,550000.0,"I'm not sure how inflation is affecting you, but I'm still hoping for a better deal.  Let's see if we can work something out!",Bob,4,
,,,Alice,4,reject
520000.0,480000.0,"I'm willing to give you a slightly smaller share, but I'm still confident I can do better than this!",Alice,5,
,,,Bob,5,reject
400000.0,600000.0,"I'm starting to think inflation is hurting you more than me.  Let's split it 60/40 this time, and hopefully we can find a way to agree.",Bob,6,
,,,Alice,6,reject
490000.0,510000.0,"I'm willing to give you a slightly larger share, but I'm still trying to maximize my gain!",Alice,7,
,,,Bob,7,accept
